acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0467,0.576,0.593,0.000767,9,0.237,-6.024,0.0306,157.993,4,0.373,10
0.177,0.761,0.412,0,9,0.0812,-8.283,0.0332,108.961,3,0.717,10
0.000358,0.609,0.859,0.111,0,0.0749,-5.215,0.0436,120.038,4,0.558,10
0.323,0.763,0.835,0.00221,2,0.225,-5.234,0.191,131.875,4,0.645,10
0.0294,0.654,0.655,0,11,0.139,-7.388,0.106,170.16,4,0.221,10
0.258,0.718,0.709,0,4,0.101,-5.568,0.039,119.974,4,0.54,10
0.155,0.629,0.824,0.000628,9,0.0651,-6.53,0.159,128.01,4,0.852,10
0.357,0.577,0.45,0,0,0.111,-8.516,0.0834,205.863,4,0.83,10
0.0604,0.752,0.87,1.12e-05,9,0.489,-3.812,0.0623,120.006,4,0.784,10
0.0427,0.817,0.716,0.00263,6,0.358,-8.898,0.144,123.474,4,0.692,10
0.702,0.526,0.334,0.00782,10,0.0586,-8.491,0.251,74.966,4,0.522,10
0.296,0.791,0.852,1.56e-05,6,0.0999,-3.569,0.0449,100.062,4,0.509,10
0.0514,0.702,0.913,3.72e-06,11,0.166,-2.977,0.0374,137.981,4,0.735,10
0.0477,0.684,0.877,0,3,0.344,-2.322,0.0611,134.98,4,0.599,10
0.116,0.944,0.76,0,11,0.113,-4.355,0.0851,98.001,4,0.545,10
0.562,0.718,0.323,1.1e-06,9,0.0827,-15.533,0.0601,82.719,4,0.463,10
0.0192,0.66,0.805,8.83e-06,1,0.159,-5.352,0.153,103.008,4,0.625,10
0.00465,0.527,0.544,0,4,0.532,-9.956,0.0325,162.096,4,0.613,10
0.0039,0.649,0.647,0.161,9,0.0686,-7.695,0.0452,125.02,4,0.405,10
0.00411,0.741,0.759,0.000914,8,0.0757,-4.333,0.0331,111.963,4,0.892,10
0.782,0.284,0.372,0.000183,8,0.103,-9.821,0.0356,98.181,4,0.0853,10
0.164,0.679,0.927,0,0,0.437,-1.058,0.15,93.989,4,0.861,10
0.0103,0.476,0.777,0,4,0.196,-3.771,0.0289,167.964,4,0.472,10
0.222,0.572,0.631,0,7,0.135,-9.836,0.0476,134.078,4,0.0713,10
0.144,0.528,0.687,0,2,0.251,-5.954,0.0532,142.605,4,0.423,10
0.0892,0.521,0.701,0,2,0.0876,-5.238,0.0458,127.087,4,0.518,10
0.0335,0.677,0.62,0.0529,9,0.285,-11.766,0.0364,146.74,4,0.672,10
0.78,0.43,0.262,0,9,0.111,-7.605,0.0315,105.822,4,0.244,10
0.000588,0.633,0.706,0.0794,10,0.245,-5.137,0.0627,128.185,4,0.399,10
0.161,0.528,0.647,0.167,4,0.199,-7.278,0.23,125.647,4,0.755,10
0.753,0.713,0.639,0,2,0.0878,-5.529,0.0313,125.959,4,0.737,10
0.00235,0.442,0.652,1.06e-06,11,0.5,-8.636,0.0405,75.576,4,0.18,10
0.0403,0.836,0.544,0,7,0.0824,-5.975,0.0943,97.028,4,0.51,10
0.00257,0.66,0.787,0,1,0.323,-4.592,0.032,142.018,4,0.199,10
0.462,0.568,0.345,0.00219,7,0.539,-16.46,0.0348,75.889,4,0.614,10
0.139,0.845,0.576,0,11,0.0764,-5.15,0.153,127.641,4,0.461,10
0.0323,0.723,0.615,8.84e-06,11,0.112,-7.949,0.0524,157.087,4,0.449,10
0.0109,0.796,0.733,4.16e-06,1,0.24,-5.995,0.0986,94.998,4,0.412,10
0.000359,0.601,0.859,0.00124,5,0.0871,-5.263,0.0276,125.145,4,0.446,10
0.082,0.724,0.828,0.000116,11,0.178,-4.671,0.0985,76.885,4,0.735,10
0.0486,0.776,0.641,5.77e-06,8,0.0977,-6.925,0.0981,128.05,4,0.437,10
0.0251,0.743,0.675,0.000717,8,0.0685,-4.267,0.0953,92.909,4,0.59,10
0.0326,0.859,0.658,0.00181,8,0.0651,-4.481,0.192,98.989,4,0.538,10
0.0286,0.848,0.931,0,11,0.205,-5.292,0.0468,130.085,4,0.96,10
0.652,0.461,0.129,0,3,0.07,-14.189,0.0565,129.19,4,0.246,10
0.186,0.663,0.482,0,1,0.0521,-12.093,0.0479,144.13,4,0.314,10
0.0376,0.74,0.926,0,9,0.582,-3.965,0.112,106.987,4,0.571,10
0.191,0.597,0.938,0,10,0.257,-3.647,0.108,87.003,4,0.743,10
0.218,0.811,0.512,0.0262,2,0.0768,-6.381,0.17,92.046,4,0.346,10
0.0654,0.422,0.933,0,2,0.382,-2.439,0.196,175.99,5,0.854,10
0.00302,0.562,0.904,0,1,0.0433,-4.947,0.0807,94.481,4,0.651,10
0.44,0.919,0.179,0,1,0.0764,-16.553,0.346,105.866,4,0.55,10
0.325,0.606,0.618,0.0019,11,0.108,-5.1,0.0258,92.061,4,0.237,10
0.331,0.519,0.413,0.0666,8,0.106,-14.462,0.21,159.398,4,0.404,10
0.00807,0.529,0.9,0.00128,9,0.114,-4.941,0.0426,120.026,4,0.479,10
0.0362,0.672,0.655,0,10,0.117,-5.021,0.0311,134.945,4,0.556,10
0.429,0.366,0.39,0,9,0.297,-8.786,0.0462,58.121,4,0.141,10
0.809,0.512,0.499,2.22e-05,0,0.284,-6.485,0.0519,78.907,4,0.51,10
0.131,0.596,0.633,0,10,0.343,-3.602,0.0594,148.09,4,0.473,10
0.0393,0.469,0.592,0,5,0.105,-4.962,0.0399,161.996,4,0.0938,10
0.406,0.72,0.763,0,9,0.18,-4.068,0.0523,101.965,4,0.742,10
0.521,0.56,0.633,4.23e-05,1,0.299,-6.912,0.361,129.992,4,0.519,10
0.093,0.818,0.913,3.69e-05,4,0.161,-3.06,0.0426,119.986,4,0.536,10
0.00244,0.675,0.82,0,11,0.26,-5.443,0.0526,98.033,4,0.671,10
0.0754,0.606,0.54,0,1,0.11,-5.485,0.0412,129.934,4,0.296,10
0.0161,0.568,0.692,0,8,0.148,-4.513,0.0589,92.023,4,0.577,10
0.381,0.518,0.655,0,8,0.271,-6.255,0.0826,156.992,4,0.29,10
0.0804,0.759,0.76,0,9,0.0818,-7.199,0.0322,120.006,4,0.731,10
0.399,0.549,0.675,0,4,0.181,-5.637,0.0332,119.898,4,0.206,10
0.00272,0.506,0.817,0,11,0.0486,-5.051,0.0335,109.952,4,0.506,10
0.00161,0.445,0.907,0,11,0.403,-3.894,0.0773,165.069,4,0.71,10
0.00524,0.551,0.948,0,1,0.408,-3.816,0.097,90.033,4,0.693,10
0.00242,0.443,0.95,0,8,0.318,-3.209,0.183,170.06,4,0.7,10
0.535,0.344,0.686,0,5,0.0783,-6.733,0.107,102.771,4,0.338,10
0.135,0.742,0.439,0,4,0.122,-8.598,0.065,92.017,4,0.826,10
0.00104,0.434,0.953,0,8,0.122,-4.8,0.181,162.191,4,0.386,10
0.102,0.44,0.687,0,5,0.297,-5.368,0.135,121.933,4,0.358,10
0.000247,0.455,0.91,0,2,0.107,-4.464,0.166,114.109,4,0.447,10
0.0289,0.589,0.797,4.35e-06,9,0.383,-5.464,0.15,102.489,4,0.232,10
0.0142,0.596,0.927,0.00913,11,0.0665,-6.241,0.0727,132.984,4,0.641,10
0.00157,0.413,0.87,1.47e-06,0,0.113,-4.885,0.0349,100.816,4,0.8,10
0.0473,0.408,0.563,0,9,0.0781,-5.97,0.0374,118.543,3,0.558,10
0.011,0.31,0.7,0.00965,9,0.0828,-5.678,0.047,188.386,4,0.763,10
0.185,0.491,0.583,0,7,0.406,-10.964,0.0376,150.566,4,0.908,10
0.0964,0.365,0.851,0.003,4,0.238,-6.238,0.065,78.068,4,0.309,10
0.336,0.481,0.451,0,5,0.0872,-6.095,0.0347,157.966,4,0.289,10
