acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.198,0.695,0.575,0,10,0.0614,-6.334,0.116,163.929,4,0.699,11
0.768,0.561,0.431,1.42e-05,10,0.106,-8.81,0.0578,143.875,4,0.137,11
0.765,0.395,0.443,9.67e-06,6,0.0839,-9.72,0.133,168.924,3,0.338,11
0.22,0.725,0.708,0,5,0.777,-5.331,0.0756,130.029,4,0.555,11
0.0532,0.663,0.856,0,7,0.591,-3.461,0.0579,99.005,4,0.749,11
0.632,0.571,0.565,1.45e-05,0,0.158,-8.846,0.0444,99.097,4,0.643,11
0.0773,0.602,0.896,8.87e-05,1,0.0911,-4.267,0.0437,124.978,4,0.641,11
0.0174,0.311,0.607,0,1,0.131,-6.578,0.11,188.7,4,0.286,11
0.612,0.68,0.729,0,5,0.224,-5.077,0.0475,123.97,4,0.446,11
0.000391,0.528,0.797,0.011,4,0.14,-7.487,0.0485,143.785,4,0.751,11
0.27,0.686,0.794,2.25e-05,7,0.125,-6.136,0.0385,140.952,3,0.532,11
0.78,0.647,0.309,7.41e-06,7,0.202,-7.948,0.0366,87.045,4,0.195,11
0.0801,0.273,0.517,0,9,0.0984,-5.853,0.0313,168.213,4,0.16,11
0.235,0.762,0.701,0.000158,8,0.123,-3.541,0.0286,110.968,4,0.742,11
0.0174,0.65,0.584,1.54e-06,2,0.042,-8.286,0.307,180.088,4,0.37,11
0.0933,0.645,0.862,0,11,0.193,-4.761,0.0845,119.947,4,0.803,11
0.0317,0.567,0.686,1.86e-06,7,0.0732,-6.139,0.175,172.014,4,0.716,11
0.822,0.255,0.468,0.248,7,0.339,-6.43,0.0317,111.67,4,0.175,11
0.941,0.473,0.203,0,2,0.126,-12.627,0.102,168.884,4,0.419,11
0.329,0.45,0.619,0,9,0.319,-7.412,0.372,83.3,4,0.427,11
0.172,0.742,0.546,0.38,1,0.115,-7.694,0.0315,104.996,4,0.868,11
0.577,0.543,0.461,0,3,0.0563,-6.724,0.0302,96.803,4,0.385,11
0.202,0.759,0.699,0.000131,0,0.443,-5.745,0.0307,92.96,4,0.907,11
0.13,0.756,0.449,0,9,0.114,-8.746,0.0344,111.011,4,0.399,11
0.413,0.723,0.903,0.000377,4,0.118,-1.262,0.033,132.006,4,0.443,11
0.696,0.605,0.488,0,4,0.129,-8.322,0.0264,119.966,4,0.354,11
0.839,0.553,0.545,0,0,0.061,-8.299,0.0867,77.332,4,0.943,11
0.36,0.487,0.534,0,0,0.1,-5.664,0.0555,131.798,4,0.173,11
0.0344,0.704,0.636,0,9,0.35,-6.029,0.0252,111.845,4,0.89,11
0.009,0.726,0.787,0,4,0.0596,-2.494,0.0737,124.99,4,0.888,11
0.0323,0.62,0.705,0,1,0.092,-5.335,0.0989,109.974,4,0.844,11
0.566,0.674,0.537,0,1,0.131,-10.971,0.0363,110.578,4,0.809,11
0.159,0.598,0.509,0.00227,4,0.108,-10.861,0.0371,106.977,4,0.04,11
