acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.000825,0.445,0.543,0.0137,0,0.202,-8.196,0.0272,99.963,4,0.102,12
0.328,0.701,0.425,0.13,7,0.1,-10.965,0.375,135.128,4,0.562,12
0.237,0.728,0.783,0,11,0.434,-4.424,0.266,77.011,4,0.555,12
0.145,0.733,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,4,0.965,12
0.0212,0.68,0.826,1.24e-05,0,0.543,-5.487,0.0309,118.051,4,0.644,12
0.0764,0.718,0.422,0,4,0.17,-9.115,0.0621,144.678,4,0.455,12
0.227,0.879,0.365,0.135,2,0.0583,-7.781,0.0924,94.016,4,0.663,12
0.00836,0.818,0.705,0.00233,6,0.613,-6.679,0.177,138.559,4,0.772,12
0.0404,0.602,0.678,0.00075,7,0.121,-8.656,0.0299,104.969,4,0.552,12
0.00485,0.525,0.978,0,11,0.06,-1.072,0.0815,178.069,4,0.577,12
0.0328,0.8,0.904,3.17e-05,2,0.182,-2.821,0.0845,124.979,4,0.806,12
0.0527,0.613,0.764,0,2,0.197,-6.509,0.136,160.015,4,0.417,12
0.186,0.551,0.881,0.0791,7,0.152,-6.099,0.0542,88.036,4,0.387,12
0.592,0.708,0.618,2.21e-06,7,0.399,-6.315,0.039,95.947,4,0.563,12
0.486,0.715,0.651,0,5,0.228,-9.241,0.12,134.914,4,0.733,12
0.0841,0.732,0.396,3.58e-05,4,0.105,-9.348,0.0286,90.024,4,0.548,12
0.0493,0.464,0.795,0.00244,1,0.399,-9.267,0.0926,158.691,4,0.612,12
0.488,0.832,0.655,0,3,0.103,-6.195,0.0676,94.998,4,0.783,12
0.00416,0.485,0.747,0.0123,11,0.157,-7.188,0.0339,151.212,4,0.589,12
0.971,0.737,0.175,0.000337,10,0.171,-9.912,0.0401,70.008,4,0.545,12
0.00506,0.542,0.795,0.019,4,0.0851,-3.63,0.0368,92.234,4,0.431,12
0.46,0.695,0.573,0.0734,4,0.482,-8.597,0.106,99.939,4,0.408,12
0.0363,0.813,0.638,0,0,0.057,-4.274,0.122,169.968,4,0.544,12
0.0334,0.686,0.64,0,8,0.0801,-5.491,0.159,162.225,4,0.597,12
0.118,0.583,0.817,0,9,0.338,-5.146,0.099,105.935,4,0.437,12
0.0358,0.794,0.762,1.41e-06,4,0.191,-3.525,0.0392,109.97,4,0.482,12
0.011,0.31,0.7,0.00965,9,0.0828,-5.678,0.047,188.386,4,0.763,12
0.00561,0.818,0.723,0,11,0.0866,-4.82,0.114,102.945,4,0.607,12
0.269,0.287,0.43,0.000579,5,0.32,-10.014,0.033,93.984,4,0.109,12
0.0127,0.432,0.884,0.000527,8,0.166,-6.659,0.13,108.948,4,0.624,12
0.00462,0.523,0.795,0,4,0.358,-2.92,0.0386,144.106,4,0.484,12
0.0613,0.679,0.908,0.000778,11,0.0711,-2.949,0.0379,119.978,4,0.658,12
0.00188,0.544,0.886,0,0,0.324,-2.667,0.0381,104.09,4,0.567,12
0.35,0.939,0.305,0.000169,8,0.105,-10.952,0.354,100.029,4,0.563,12
0.00963,0.465,0.956,0.000101,0,0.335,-3.34,0.128,184.126,4,0.665,12
0.00799,0.726,0.815,0.081,11,0.112,-5.886,0.0313,140.158,4,0.462,12
0.0476,0.625,0.717,8.73e-05,10,0.277,-5.796,0.121,126.004,4,0.398,12
0.0969,0.928,0.526,0.263,5,0.153,-6.486,0.161,109.958,4,0.753,12
0.612,0.849,0.48,0.269,9,0.295,-5.835,0.226,142.021,4,0.677,12
0.0341,0.557,0.691,0,4,0.0942,-5.957,0.0365,149.993,4,0.751,12
0.00213,0.577,0.828,0.0114,6,0.0581,-8.691,0.0298,123.257,4,0.604,12
0.0131,0.574,0.839,0.0101,4,0.524,-5.083,0.0377,143.973,4,0.469,12
0.000323,0.532,0.972,0.00852,1,0.209,-5.078,0.0895,121.966,4,0.374,12
0.0164,0.828,0.621,0.00233,8,0.0845,-6.414,0.0565,128.986,4,0.436,12
0.613,0.41,0.655,0.000117,0,0.329,-6.701,0.0313,174.021,4,0.495,12
0.047,0.534,0.582,0.0328,5,0.0883,-7.912,0.0401,84.183,4,0.346,12
0.0381,0.639,0.628,0,6,0.386,-7.578,0.0399,90.482,4,0.43,12
