acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.000219,0.495,0.856,0,0,0.103,-5.123,0.0311,158.024,4,0.609,14
0.837,0.356,0.342,0,7,0.136,-9.469,0.0383,113.52,3,0.116,14
0.00475,0.527,0.922,0.000162,9,0.422,-2.666,0.0728,95.975,4,0.49,14
0.232,0.345,0.612,0,7,0.194,-6.543,0.0608,179.773,3,0.232,14
0.515,0.727,0.581,0,10,0.102,-7.124,0.0305,93.984,4,0.372,14
0.0347,0.814,0.754,0.00105,7,0.115,-7.571,0.113,103.028,4,0.534,14
0.0421,0.726,0.554,0,5,0.106,-5.29,0.0917,169.999,4,0.335,14
6.72e-05,0.487,0.9,0,0,0.358,-4.418,0.0483,149.937,4,0.481,14
0.0465,0.812,0.761,0.000135,11,0.0601,-5.222,0.0812,130.032,4,0.344,14
0.21,0.749,0.463,0.0382,11,0.338,-8.433,0.0842,90.035,4,0.189,14
0.00988,0.755,0.87,0,1,0.0917,-2.414,0.0936,124.032,4,0.645,14
0.0421,0.876,0.7,0,2,0.542,-7.137,0.282,101.995,4,0.433,14
0.0529,0.662,0.602,0,4,0.356,-5.369,0.0401,133.969,3,0.29,14
0.0153,0.618,0.823,3.54e-05,7,0.12,-4.211,0.221,136.964,4,0.769,14
0.0282,0.806,0.653,0.000784,8,0.107,-6.283,0.0902,150.058,4,0.85,14
0.00929,0.771,0.671,0,2,0.0637,-5.617,0.0553,85.026,4,0.714,14
0.0246,0.666,0.873,2.6e-06,9,0.0543,-5.072,0.0273,114.006,4,0.945,14
2.14e-05,0.199,0.746,5e-05,7,0.471,-8.234,0.0648,82.348,4,0.328,14
0.00886,0.701,0.556,0.000122,9,0.106,-7.42,0.0414,152.045,4,0.333,14
0.0666,0.6,0.939,6.18e-06,7,0.34,-1.794,0.19,159.941,4,0.833,14
0.0963,0.609,0.944,1.26e-05,11,0.222,-2.503,0.254,125.121,4,0.533,14
0.00107,0.639,0.912,0,1,0.097,-2.621,0.0615,143.448,4,0.343,14
0.00151,0.964,0.398,3.95e-05,11,0.101,-8.981,0.0795,105.012,4,0.563,14
0.124,0.727,0.879,1.17e-05,9,0.244,-1.167,0.129,146.959,4,0.671,14
0.0529,0.758,0.391,0.000867,9,0.106,-12.676,0.0453,114.006,4,0.895,14
0.0236,0.537,0.746,1.01e-06,10,0.156,-5.507,0.15,170.062,4,0.252,14
0.0799,0.656,0.875,0,0,0.222,-2.739,0.0463,88.938,4,0.708,14
0.585,0.728,0.525,0,1,0.0962,-5.91,0.171,141.855,4,0.779,14
0.015,0.762,0.791,2.49e-06,2,0.312,-5.267,0.102,120.015,4,0.393,14
0.00268,0.661,0.836,0,5,0.497,-3.164,0.059,124.952,4,0.396,14
0.000185,0.279,0.742,0,4,0.593,-6.46,0.0898,189.868,4,0.328,14
0.00464,0.681,0.865,0.00169,1,0.149,-4.132,0.0594,91.017,4,0.528,14
0.00798,0.807,0.883,0.207,8,0.0529,-4.376,0.0445,114.133,4,0.355,14
0.132,0.817,0.599,0.000311,0,0.0873,-9.249,0.0328,108.873,4,0.548,14
