acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.592,0.778,0.317,0,1,0.0881,-10.732,0.334,140.048,4,0.327,15
0.0884,0.66,0.689,0,4,0.0922,-2.671,0.0337,127.98,4,0.427,15
0.098,0.524,0.427,0.000273,1,0.129,-9.57,0.0297,100.024,4,0.0379,15
1.13e-05,0.31,0.884,3.03e-06,1,0.121,-3.484,0.0566,137.762,4,0.276,15
0.222,0.428,0.626,8.22e-05,4,0.277,-6.639,0.0339,86.02,4,0.379,15
0.000722,0.56,0.959,0.000221,7,0.209,-2.433,0.102,163.983,4,0.669,15
0.00314,0.696,0.921,5.24e-05,0,0.0842,-3.755,0.0363,119.001,4,0.714,15
0.0495,0.612,0.807,0.0177,10,0.101,-2.81,0.0336,124.053,4,0.398,15
0.0621,0.399,0.721,0.00282,4,0.278,-5.562,0.0523,160.125,4,0.113,15
0.00925,0.684,0.735,0.000659,2,0.288,-4.596,0.273,171.383,4,0.06,15
0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,0.157,169.994,4,0.564,15
0.0265,0.669,0.78,1.63e-06,7,0.143,-4.287,0.053,139.945,4,0.738,15
0.0487,0.786,0.858,0,11,0.126,-3.74,0.0675,112.999,4,0.649,15
0.161,0.831,0.554,6.12e-05,1,0.152,-9.998,0.218,140.026,4,0.396,15
0.404,0.641,0.559,0.00402,7,0.0937,-11.132,0.0355,144.982,4,0.523,15
0.297,0.61,0.508,0,8,0.384,-6.682,0.152,178.818,4,0.758,15
0.0237,0.474,0.861,0.0158,0,0.664,-5.984,0.26,156.333,4,0.6,15
0.155,0.776,0.911,2.59e-06,2,0.268,-3.08,0.131,101.027,4,0.56,15
0.00215,0.661,0.729,0.0013,7,0.0477,-6.561,0.0376,103.987,4,0.668,15
0.237,0.73,0.483,7.99e-05,4,0.31,-8.565,0.0879,87.996,4,0.883,15
0.00135,0.484,0.756,1.55e-06,9,0.168,-5.709,0.0605,132.722,4,0.195,15
0.358,0.543,0.87,0.000939,9,0.792,-6.514,0.0428,100.804,4,0.754,15
0.0342,0.79,0.729,9.31e-05,9,0.0411,-3.843,0.334,159.989,4,0.904,15
0.229,0.717,0.653,0,1,0.101,-5.634,0.0658,106.966,4,0.412,15
0.0736,0.314,0.944,0,5,0.978,-3.295,0.0625,164.95,4,0.467,15
0.12,0.768,0.561,9.2e-06,8,0.0916,-6.657,0.0453,120.049,4,0.731,15
0.3,0.751,0.834,1.77e-05,1,0.355,-5.444,0.0437,95.053,4,0.894,15
0.00138,0.625,0.939,0,4,0.424,-3.115,0.0669,102.999,4,0.644,15
0.0699,0.298,0.668,2.44e-05,1,0.59,-5.536,0.0478,110.063,4,0.121,15
0.0263,0.551,0.913,1.35e-05,0,0.347,-4.063,0.0466,119.992,4,0.544,15
0.0744,0.493,0.946,4.89e-05,0,0.351,-4.304,0.124,135.955,4,0.134,15
0.0392,0.706,0.756,0,4,0.18,-4.405,0.0845,97.098,4,0.676,15
0.0687,0.786,0.852,0,8,0.0759,-2.687,0.0813,125.036,4,0.455,15
0.0713,0.8,0.535,9.48e-06,7,0.213,-6.684,0.135,92.027,4,0.451,15
0.00379,0.703,0.709,5.43e-05,1,0.333,-4.169,0.0433,117.941,4,0.538,15
0.0647,0.647,0.8,0,7,0.334,-5.384,0.165,160.078,4,0.942,15
0.0129,0.811,0.719,1.36e-05,9,0.0742,-6.553,0.0497,103.979,4,0.865,15
0.0312,0.739,0.841,0,5,0.173,-4.162,0.06,106.99,4,0.562,15
0.111,0.668,0.672,0,2,0.329,-4.931,0.0303,89.011,4,0.539,15
0.0569,0.808,0.97,6.13e-05,10,0.154,-6.098,0.0506,114.328,4,0.868,15
0.0264,0.822,0.739,4.26e-05,1,0.181,-4.541,0.0311,118.992,4,0.745,15
0.25,0.788,0.844,0.000678,2,0.0723,-3.131,0.0334,113.324,4,0.382,15
0.036,0.668,0.828,0,4,0.0932,-5.034,0.0739,140.042,4,0.393,15
0.00323,0.759,0.459,0,8,0.0906,-5.187,0.0948,109.997,4,0.695,15
0.0113,0.767,0.682,0.00016,1,0.104,-5.02,0.042,127.975,4,0.833,15
0.122,0.548,0.816,0,0,0.335,-4.209,0.0465,95.39,4,0.557,15
0.0197,0.399,0.787,6.07e-05,1,0.0685,-2.88,0.0499,117.089,5,0.572,15
0.00481,0.733,0.855,0,9,0.123,-3.211,0.118,126.035,4,0.42,15
0.00125,0.649,0.815,4.31e-05,3,0.671,-3.796,0.0415,126.03,4,0.765,15
0.366,0.687,0.514,0,9,0.116,-6.612,0.0897,145.921,4,0.494,15
0.315,0.912,0.655,3.39e-05,8,0.0894,-6.029,0.162,91.942,4,0.793,15
0.00381,0.8,0.578,0,4,0.359,-5.144,0.0485,143.01,4,0.367,15
0.0421,0.726,0.554,0,5,0.106,-5.29,0.0917,169.999,4,0.335,15
0.11,0.715,0.624,0,4,0.123,-3.046,0.114,158.087,4,0.412,15
0.297,0.61,0.508,0,8,0.384,-6.682,0.152,178.818,4,0.758,15
0.329,0.906,0.604,0,11,0.255,-8.332,0.0746,99.996,4,0.899,15
0.0688,0.716,0.858,2.87e-06,7,0.0801,-3.468,0.0422,155.41,4,0.67,15
0.702,0.526,0.334,0.00782,10,0.0586,-8.491,0.251,74.966,4,0.522,15
0.222,0.683,0.615,8.25e-06,5,0.154,-5.737,0.0966,77.014,4,0.45,15
0.000219,0.495,0.856,0,0,0.103,-5.123,0.0311,158.024,4,0.609,15
0.68,0.804,0.609,0.00253,0,0.261,-7.848,0.0633,133.043,4,0.713,15
0.205,0.88,0.662,0,0,0.227,-5.766,0.304,109.988,4,0.726,15
0.0215,0.65,0.825,2.44e-05,0,0.0936,-4.645,0.0325,118.091,4,0.593,15
0.468,0.737,0.802,0,0,0.0931,-4.771,0.0878,144.015,4,0.682,15
