acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0101,0.614,0.81,0,0,0.0832,-5.184,0.0926,171.09,4,0.605,7
0.242,0.571,0.651,0,5,0.0938,-6.26,0.0349,121.202,4,0.374,7
0.347,0.645,0.795,0.00389,7,0.104,-12.095,0.0527,112.067,4,0.535,7
0.193,0.579,0.904,0,5,0.064,-2.729,0.0618,82.014,4,0.681,7
0.108,0.647,0.398,0.107,4,0.148,-8.63,0.0283,102.029,4,0.32,7
0.282,0.46,0.683,0,10,0.425,-5.97,0.0891,175.743,4,0.592,7
0.44,0.761,0.525,6.7e-06,11,0.0921,-6.9,0.0944,80.87,4,0.531,7
0.00463,0.633,0.889,0.000458,5,0.0658,-5.87,0.0715,121.956,4,0.584,7
0.513,0.67,0.684,0.0103,2,0.126,-7.47,0.0242,94.261,4,0.852,7
0.00701,0.578,0.866,0,1,0.257,-3.804,0.0619,128.038,4,0.619,7
0.135,0.742,0.439,0,4,0.122,-8.598,0.065,92.017,4,0.826,7
0.0305,0.77,0.732,0,4,0.157,-4.601,0.0508,110.011,4,0.889,7
0.6,0.593,0.377,0,0,0.0976,-8.761,0.0253,95.939,4,0.502,7
0.058,0.716,0.73,7.32e-06,6,0.151,-4.126,0.0364,136.05,4,0.339,7
2.55e-05,0.502,0.912,0.000173,1,0.106,-4.556,0.0564,116.761,4,0.72,7
0.258,0.72,0.715,0.0568,11,0.107,-4.652,0.04,107.041,4,0.357,7
0.121,0.68,0.697,0,5,0.661,-7.01,0.0484,116.033,4,0.684,7
0.21,0.448,0.838,0.000131,4,0.131,-5.257,0.0557,139.863,4,0.254,7
0.287,0.39,0.397,0,0,0.207,-9.963,0.0513,144.031,4,0.246,7
0.0785,0.517,0.995,0,6,0.703,-1.437,0.0989,159.402,4,0.803,7
0.593,0.471,0.335,2.11e-05,4,0.297,-8.767,0.0273,145.252,3,0.111,7
0.0411,0.603,0.834,0.00609,5,0.105,-5.766,0.0417,89.957,4,0.376,7
0.00517,0.462,0.836,0,11,0.18,-5.766,0.0621,168.766,4,0.671,7
0.00136,0.518,0.843,0.0119,2,0.132,-7.361,0.0544,143.903,4,0.249,7
0.0465,0.626,0.639,0,10,0.246,-5.62,0.085,144.009,4,0.638,7
0.000278,0.417,0.934,0.0015,7,0.132,-3.908,0.119,127.066,4,0.287,7
0.00173,0.659,0.667,2.85e-05,11,0.1,-4.668,0.0339,115.982,4,0.468,7
0.0654,0.664,0.705,0,1,0.118,-4.972,0.0382,122.016,4,0.477,7
0.125,0.654,0.78,0,11,0.502,-6.082,0.0372,127.994,4,0.907,7
0.0271,0.775,0.904,0.000303,1,0.06,-4.08,0.0437,130.009,4,0.84,7
0.219,0.647,0.822,0,5,0.0908,-4.662,0.183,160.019,4,0.962,7
0.0114,0.783,0.58,2.28e-06,7,0.108,-6.548,0.0408,120.021,4,0.66,7
0.033,0.61,0.83,0,0,0.118,-4.105,0.0571,182.162,4,0.728,7
0.000104,0.236,0.918,0.0178,2,0.294,-4.503,0.0998,98.46,4,0.312,7
0.0797,0.705,0.806,0.000169,0,0.0545,-9.129,0.0405,134.997,4,0.439,7
0.0904,0.912,0.716,0,10,0.0491,-4.141,0.0697,94.981,4,0.377,7
0.0219,0.597,0.812,0.00106,5,0.102,-12.062,0.0315,135.68,4,0.823,7
0.0745,0.542,0.822,0.00947,0,0.0645,-7.201,0.0291,130.011,4,0.772,7
0.00847,0.56,0.936,0,3,0.161,-5.835,0.0439,112.96,4,0.371,7
0.0968,0.79,0.407,0,1,0.363,-13.407,0.109,105.982,4,0.285,7
0.0144,0.577,0.676,1.36e-05,8,0.424,-7.575,0.0331,139.418,4,0.374,7
0.0562,0.649,0.821,0.00271,7,0.318,-2.957,0.0329,113.489,4,0.698,7
0.0956,0.539,0.517,0,5,0.111,-6.999,0.0272,82.987,4,0.408,7
8.82e-06,0.107,0.862,4.25e-05,5,0.325,-2.706,0.0448,91.54,4,0.139,7
0.0717,0.509,0.637,1.08e-05,4,0.0789,-4.83,0.0471,172.006,3,0.378,7
0.356,0.504,0.904,0.121,6,0.14,-6.863,0.179,176.808,4,0.772,7
0.403,0.766,0.772,0.0584,0,0.183,-9.362,0.0353,128.168,4,0.919,7
0.0969,0.688,0.716,0,7,0.0989,-5.702,0.0385,116.912,3,0.373,7
0.0315,0.625,0.877,0.0811,10,0.672,-7.176,0.162,192.296,4,0.865,7
0.0279,0.564,0.894,0,2,0.281,-4.596,0.0601,104.955,4,0.472,7
0.0384,0.72,0.791,0,1,0.157,-4.689,0.124,102.071,4,0.756,7
0.165,0.48,0.954,5.14e-06,11,0.807,-5.273,0.0584,172.016,4,0.762,7
0.0376,0.609,0.807,0.204,11,0.13,-5.405,0.0283,125.906,4,0.203,7
0.0157,0.609,0.692,0,1,0.0864,-2.958,0.0259,116.959,3,0.454,7
0.049,0.287,0.78,3.71e-05,7,0.184,-6.493,0.0469,167.278,4,0.383,7
0.0874,0.678,0.663,0.0161,7,0.615,-7.726,0.0307,136.388,4,0.822,7
0.0474,0.688,0.909,1.35e-06,8,0.0674,-1.992,0.0624,97.097,4,0.702,7
0.724,0.385,0.657,0,5,0.105,-6.975,0.0342,124.895,4,0.672,7
0.936,0.429,0.24,0,0,0.126,-13.338,0.0369,84.084,4,0.323,7
0.0184,0.701,0.871,0.0225,11,0.121,-3.318,0.0353,125.999,4,0.56,7
0.02,0.749,0.491,0.00899,10,0.159,-9.655,0.0403,119.528,4,0.536,7
0.0966,0.654,0.285,0.0216,5,0.105,-13.379,0.0375,82.997,4,0.148,7
0.652,0.675,0.64,0,7,0.461,-8.742,0.0544,119.7,4,0.965,7
0.024,0.815,0.867,0.000128,7,0.127,-4.203,0.0434,126.021,4,0.646,7
0.607,0.684,0.35,0,7,0.426,-9.399,0.0495,103.951,4,0.263,7
0.00962,0.71,0.82,0,3,0.0871,-4.362,0.0836,112.005,4,0.746,7
0.307,0.703,0.889,3.84e-05,2,0.117,-3.537,0.0509,119.793,4,0.273,7
0.00244,0.628,0.692,0.0129,2,0.668,-5.64,0.202,124.887,5,0.0963,7
0.243,0.265,0.312,0,7,0.0893,-11.689,0.0569,54.747,3,0.0998,7
0.707,0.593,0.5,1.24e-05,1,0.0837,-8.532,0.029,117.996,4,0.465,7
0.114,0.845,0.583,0.000536,9,0.1,-5.948,0.0773,149.941,4,0.842,7
0.0112,0.746,0.765,0,6,0.0936,-4.41,0.0993,114.044,4,0.737,7
0.0135,0.843,0.807,6.44e-05,1,0.227,-3.794,0.0632,104.962,4,0.833,7
0.0104,0.704,0.646,0,6,0.191,-6.658,0.0596,141.87,4,0.64,7
0.0106,0.294,0.686,3.31e-06,2,0.688,-8.556,0.0396,173.105,4,0.561,7
0.306,0.479,0.733,2.4e-05,0,0.414,-8.753,0.0256,99.307,4,0.806,7
0.377,0.74,0.357,0.047,0,0.328,-9.921,0.0352,119.973,4,0.453,7
0.517,0.869,0.532,0,7,0.103,-7.186,0.23,89.004,4,0.509,7
0.00987,0.601,0.794,1.36e-06,7,0.388,-5.844,0.0671,114.066,4,0.244,7
0.156,0.682,0.683,2.32e-05,8,0.273,-6.444,0.0287,120.023,4,0.64,7
0.00152,0.515,0.726,0.00015,1,0.087,-5.926,0.0547,170.987,4,0.35,7
0.0118,0.155,0.643,0.000375,11,0.84,-10.567,0.0968,107.133,4,0.19,7
0.292,0.654,0.85,4.6e-05,0,0.0638,-5.719,0.0804,154.962,4,0.52,7
0.618,0.714,0.454,0,0,0.0586,-8.899,0.166,175.537,3,0.81,7
0.407,0.593,0.539,2.31e-06,7,0.286,-5.946,0.0349,91.98,4,0.577,7
0.00293,0.442,0.943,8.71e-06,3,0.091,-3.205,0.0602,85.064,4,0.781,7
0.127,0.5,0.748,0,4,0.447,-9.072,0.0363,118.852,4,0.514,7
0.0318,0.58,0.935,0,9,0.0977,-3.348,0.189,172.023,4,0.603,7
0.00126,0.526,0.763,6.75e-05,0,0.359,-12.663,0.0341,136.205,4,0.514,7
0.00205,0.638,0.924,0.000175,7,0.149,-3.887,0.036,111.995,4,0.53,7
0.0861,0.648,0.842,0,4,0.122,-4.695,0.0758,150.026,4,0.818,7
4.46e-05,0.437,0.803,0.0164,10,0.107,-4.791,0.04,147.507,4,0.735,7
0.457,0.575,0.54,0.000634,8,0.165,-9.172,0.101,134.079,4,0.49,7
0.0222,0.738,0.652,0,2,0.0758,-4.098,0.0488,132.046,4,0.745,7
0.205,0.204,0.56,0.926,2,0.0937,-10.086,0.0856,119.718,4,0.0364,7
0.0293,0.517,0.871,0,5,0.261,-2.258,0.0387,87.961,4,0.638,7
0.368,0.528,0.488,0,0,0.0903,-7.873,0.0308,144.018,4,0.0694,7
0.771,0.662,0.602,1.3e-06,1,0.089,-7.672,0.0322,172.025,4,0.863,7
0.949,0.504,0.0597,0.928,5,0.111,-23.911,0.0321,99.351,4,0.0644,7
0.953,0.423,0.198,0,7,0.104,-16.403,0.0474,115.782,4,0.28,7
0.417,0.715,0.62,0,1,0.0822,-6.005,0.0484,97.95,4,0.172,7
0.00543,0.611,0.797,0.00137,6,0.26,-7.627,0.0533,120.041,4,0.518,7
0.0632,0.707,0.681,5.15e-06,0,0.0322,-4.325,0.0668,117.999,4,0.646,7
0.0277,0.303,0.9,0.635,2,0.11,-2.352,0.0574,149.508,4,0.491,7
0.17,0.461,0.593,0,1,0.307,-4.954,0.0356,134.17,3,0.175,7
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,7
