acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0447,0.247,0.438,0.000867,5,0.111,-8.478,0.0358,185.711,3,0.39,8
0.0577,0.255,0.393,0.00361,5,0.113,-10.654,0.0278,76.426,4,0.118,8
0.47,0.391,0.167,0.00097,2,0.11,-19.024,0.0362,130.498,3,0.0965,8
0.116,0.794,0.579,2.97e-05,1,0.0576,-7.507,0.0348,123.922,4,0.874,8
0.828,0.598,0.192,0,6,0.0949,-12.578,0.124,81.42,4,0.525,8
0.144,0.452,0.563,0,4,0.143,-6.607,0.0272,137.715,3,0.209,8
0.757,0.777,0.357,7.28e-06,0,0.108,-6.942,0.0522,139.883,4,0.172,8
0.87,0.339,0.286,1.58e-05,7,0.0948,-12.255,0.0297,140.987,3,0.243,8
0.000743,0.553,0.841,1.19e-05,7,0.341,-6.937,0.0396,92.008,4,0.338,8
0.000828,0.332,0.307,0.00022,7,0.0976,-11.231,0.0359,76.583,4,0.159,8
0.341,0.765,0.373,0.525,8,0.112,-9.921,0.0713,85.016,4,0.554,8
0.714,0.46,0.408,0,4,0.144,-10.163,0.0586,209.495,3,0.288,8
0.682,0.542,0.268,0.00697,0,0.14,-13.54,0.0256,139.973,4,0.255,8
0.184,0.705,0.824,6.5e-05,0,0.145,-6.714,0.0846,73.022,4,0.857,8
0.498,0.205,0.472,0.000792,10,0.0953,-10.45,0.0718,203.944,4,0.0392,8
0.00979,0.34,0.684,0,11,0.348,-6.306,0.044,112.969,4,0.556,8
0.975,0.355,0.169,0.00817,1,0.138,-13.837,0.0338,79.781,4,0.196,8
0.00237,0.645,0.901,0,7,0.0615,-3.333,0.0391,124.029,4,0.397,8
0.137,0.59,0.805,0,0,0.0996,-6.481,0.0371,138.514,4,0.797,8
0.0663,0.541,0.96,2.25e-06,0,0.344,-2.947,0.0505,122.803,4,0.812,8
0.257,0.689,0.694,0,6,0.148,-5.83,0.027,99.039,4,0.482,8
0.813,0.432,0.391,0.00363,9,0.155,-14.99,0.242,123.538,4,0.744,8
0.214,0.473,0.579,0,4,0.0877,-5.824,0.0384,73.942,4,0.255,8
0.365,0.703,0.914,0,6,0.104,-0.692,0.157,124.203,4,0.707,8
0.00104,0.813,0.547,0.00335,2,0.0914,-5.936,0.0344,119.998,4,0.8,8
0.00852,0.516,0.768,8.49e-06,9,0.136,-4.964,0.0362,115.005,4,0.204,8
0.428,0.286,0.621,0.00425,6,0.105,-5.677,0.0363,122.999,4,0.048,8
0.869,0.643,0.199,0,0,0.106,-12.19,0.0581,46.572,4,0.386,8
0.665,0.357,0.361,0.00592,0,0.0682,-12.14,0.0452,131.601,3,0.0958,8
0.5,0.403,0.417,0.889,7,0.105,-11.252,0.0257,89.966,4,0.251,8
0.103,0.68,0.678,0.00828,1,0.204,-11.548,0.0754,131.165,4,0.251,8
0.862,0.567,0.303,0.00563,7,0.104,-12.481,0.0351,124.949,4,0.252,8
0.352,0.606,0.965,0,1,0.093,-2.396,0.0356,101.971,4,0.849,8
0.883,0.669,0.308,0,11,0.0984,-10.068,0.029,64.934,4,0.52,8
0.341,0.725,0.898,9.82e-06,9,0.281,-5.204,0.0908,145.985,4,0.97,8
0.00355,0.556,0.834,0.000185,1,0.111,-5.016,0.055,90.042,4,0.509,8
0.000745,0.26,0.589,0.736,1,0.114,-7.006,0.0338,91.643,4,0.113,8
0.234,0.489,0.578,0,10,0.123,-9.766,0.0418,78.111,4,0.511,8
0.128,0.591,0.782,0,7,0.114,-5.45,0.0389,150.09,4,0.709,8
0.406,0.653,0.519,0.0209,2,0.101,-10.164,0.0497,98.883,4,0.822,8
0.11,0.455,0.681,0,11,0.116,-5.224,0.0532,173.889,4,0.366,8
0.00202,0.493,0.565,0.0285,10,0.0954,-8.287,0.0362,177.997,4,0.324,8
0.0217,0.607,0.941,0.071,0,0.119,-6.163,0.0486,144.04,4,0.414,8
0.893,0.442,0.25,1.76e-05,10,0.103,-13.017,0.0314,138.906,4,0.285,8
0.603,0.476,0.194,0.0135,0,0.23,-20.311,0.0335,145.945,4,0.371,8
0.707,0.591,0.605,0,0,0.309,-10.925,0.0413,133.348,4,0.882,8
0.000106,0.465,0.956,3.17e-05,10,0.258,-4.098,0.111,95.03,4,0.322,8
0.0209,0.644,0.549,8.85e-06,1,0.134,-5.415,0.0285,90.04,4,0.167,8
