acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0194,0.935,0.454,0,1,0.0824,-7.509,0.375,133.073,4,0.357,0
0.0102,0.705,0.712,0.000855,6,0.1,-6.156,0.0385,97.512,4,0.62,0
0.0496,0.295,0.637,0.0236,8,0.112,-4.043,0.0288,84.551,4,0.221,0
0.449,0.603,0.783,7.96e-06,6,0.119,-4.023,0.062,172.041,4,0.775,0
0.57,0.606,0.636,1.65e-06,2,0.0944,-4.559,0.0278,120.04,4,0.452,0
0.0883,0.586,0.856,1.73e-06,9,0.341,-4.392,0.0512,135.095,4,0.518,0
0.0509,0.641,0.489,0,0,0.071,-8.668,0.11,142.977,4,0.206,0
0.399,0.549,0.675,0,4,0.181,-5.637,0.0332,119.898,4,0.206,0
0.634,0.566,0.664,0,4,0.116,-5.303,0.0464,128.945,4,0.437,0
0.0703,0.733,0.65,6.59e-05,5,0.0829,-3.539,0.0315,110.003,4,0.348,0
0.0377,0.251,0.848,0.00591,5,0.0545,-6.501,0.0579,163.709,4,0.207,0
0.0633,0.516,0.755,0.00103,5,0.107,-3.724,0.0383,140.099,4,0.165,0
0.122,0.529,0.8,0,1,0.0704,-4.99,0.067,143.992,4,0.41,0
0.000273,0.546,0.724,0.667,10,0.133,-8.639,0.0427,89.991,4,0.586,0
0.74,0.905,0.389,0.162,8,0.106,-14.505,0.332,120.046,4,0.196,0
0.977,0.313,0.352,0.936,2,0.0968,-16.892,0.0434,103.711,4,0.179,0
0.672,0.512,0.525,1.66e-05,5,0.112,-7.152,0.0429,128.054,4,0.337,0
0.121,0.657,0.88,0,10,0.463,-3.672,0.102,150.084,4,0.769,0
0.365,0.331,0.45,0.00464,10,0.22,-5.362,0.034,123.829,4,0.18,0
0.112,0.468,0.779,0.000373,9,0.101,-4.839,0.0779,173.799,4,0.26,0
0.0655,0.647,0.514,0,8,0.398,-10.05,0.0593,79.975,4,0.386,0
0.000674,0.608,0.792,0.653,9,0.252,-5.721,0.0355,161.104,4,0.611,0
0.659,0.532,0.495,0,10,0.0754,-6.662,0.0343,124.936,4,0.308,0
0.115,0.384,0.798,0,9,0.181,-6.439,0.434,149.854,4,0.146,0
0.000647,0.543,0.836,0.431,4,0.153,-9.11,0.0353,105.173,4,0.56,0
0.857,0.291,0.239,0,3,0.112,-11.335,0.035,98.29,3,0.0391,0
0.22,0.62,0.761,0,0,0.143,-2.736,0.334,207.819,4,0.626,0
0.0967,0.621,0.73,0.000131,5,0.673,-5.414,0.107,139.566,4,0.464,0
0.396,0.462,0.461,0,0,0.0707,-4.813,0.0314,119.474,4,0.247,0
0.0262,0.705,0.572,0,8,0.585,-5.799,0.0326,139.977,4,0.574,0
0.0431,0.64,0.957,0,8,0.0789,-2.336,0.0741,134.992,4,0.692,0
0.957,0.309,0.181,0.000325,8,0.0841,-13.05,0.0364,120.62,4,0.0699,0
0.957,0.309,0.181,0.000325,8,0.0841,-13.05,0.0364,120.62,4,0.0699,0
0.131,0.596,0.633,0,10,0.343,-3.602,0.0594,148.09,4,0.473,0
0.131,0.245,0.64,8.11e-06,2,0.0766,-7.426,0.0608,135.739,4,0.105,0
0.0519,0.581,0.822,0,0,0.08,-5.082,0.0591,139.98,4,0.544,0
0.065,0.446,0.894,0.000201,11,0.1,-5.525,0.428,86.181,4,0.157,0
0.682,0.775,0.552,0,2,0.143,-5.271,0.0326,111.929,4,0.517,0
0.0618,0.52,0.915,0.000946,2,0.0856,-2.862,0.103,90.069,4,0.5,0
0.00158,0.51,0.882,0.00206,8,0.0764,-5.659,0.159,154.029,4,0.653,0
0.0964,0.365,0.851,0.003,4,0.237,-6.238,0.0645,78.086,4,0.309,0
0.0716,0.63,0.873,0.16,2,0.42,-9.007,0.0553,116.804,4,0.853,0
0.0872,0.334,0.349,0.18,4,0.211,-12.065,0.0448,137.134,4,0.0644,0
