acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.00262,0.535,0.448,1.94e-05,2,0.115,-9.167,0.0279,101.986,4,0.32,13
0.767,0.332,0.225,0.00349,0,0.128,-8.697,0.0348,81.055,3,0.297,13
0.00795,0.809,0.911,0.000179,6,0.181,-4.41,0.0617,122.035,4,0.64,13
0.278,0.144,0.541,1.01e-05,0,0.101,-7.076,0.038,79.262,3,0.0899,13
0.0044,0.326,0.866,7.37e-06,9,0.0912,-4.541,0.101,178.181,4,0.172,13
0.0542,0.565,0.654,1.8e-06,1,0.122,-6.826,0.0335,111.968,4,0.235,13
0.669,0.67,0.905,0.000227,1,0.349,-6.855,0.129,104.965,4,0.563,13
0.178,0.687,0.745,1.59e-05,6,0.111,-4.432,0.0379,129.966,4,0.435,13
0.2,0.663,0.838,0.000177,0,0.0782,-5.744,0.0286,112.788,4,0.752,13
0.811,0.236,0.249,1e-06,6,0.087,-9.595,0.0348,72.847,5,0.181,13
0.00559,0.654,0.707,0,6,0.0873,-5.661,0.0664,127.97,4,0.448,13
0.00287,0.526,0.866,7.78e-05,0,0.0945,-5.822,0.0568,140.266,4,0.248,13
0.314,0.515,0.476,4.74e-05,9,0.171,-9.843,0.0328,135.886,4,0.412,13
0.934,0.351,0.296,0,4,0.095,-10.109,0.0333,115.284,4,0.12,13
0.00116,0.79,0.853,4.23e-05,11,0.329,-4.564,0.0666,125.0,4,0.713,13
0.375,0.633,0.655,0,5,0.145,-6.653,0.0622,74.052,4,0.512,13
0.92,0.462,0.24,0,0,0.113,-12.077,0.0377,171.319,4,0.32,13
0.001,0.644,0.867,0,11,0.105,-4.18,0.0383,124.997,4,0.687,13
0.524,0.748,0.734,1.15e-05,0,0.0975,-6.499,0.124,97.753,4,0.368,13
0.0484,0.575,0.568,0.000417,9,0.286,-5.509,0.03,93.986,4,0.37,13
0.0861,0.751,0.642,0,3,0.0953,-5.165,0.087,95.045,4,0.388,13
0.12,0.576,0.759,0,3,0.121,-8.165,0.0599,99.969,4,0.501,13
0.00461,0.378,0.665,0.000118,7,0.0575,-7.386,0.0428,169.981,4,0.431,13
0.244,0.536,0.486,0.00788,11,0.12,-11.067,0.0346,131.988,4,0.0968,13
0.00245,0.588,0.791,0.00258,7,0.118,-5.595,0.0402,94.933,4,0.487,13
0.08,0.457,0.406,0,9,0.117,-7.462,0.0291,151.95,3,0.208,13
0.262,0.432,0.652,0,8,0.258,-4.969,0.0285,190.028,3,0.507,13
0.604,0.504,0.655,0.00193,0,0.364,-8.644,0.0542,99.982,4,0.262,13
0.0542,0.702,0.692,0,10,0.0877,-5.405,0.0539,144.896,4,0.419,13
0.795,0.444,0.309,0.132,8,0.352,-10.956,0.062,104.745,4,0.0875,13
0.0046,0.496,0.863,0,9,0.639,-4.153,0.0381,110.018,4,0.243,13
0.128,0.373,0.686,1.96e-06,0,0.383,-5.52,0.034,93.763,4,0.189,13
0.0572,0.585,0.776,7.74e-06,5,0.3,-5.898,0.0459,77.987,4,0.427,13
0.0169,0.596,0.854,0,7,0.124,-5.114,0.463,120.274,4,0.152,13
0.299,0.695,0.54,0,4,0.367,-5.692,0.0493,121.932,4,0.415,13
0.0485,0.696,0.734,0,7,0.183,-5.294,0.0298,107.987,4,0.711,13
0.04,0.523,0.769,0,4,0.136,-5.855,0.0269,136.162,4,0.876,13
