acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.326,0.609,0.449,0.000115,5,0.147,-13.291,0.249,143.854,4,0.309,1
0.939,0.44,0.22,3.1e-05,0,0.0969,-10.638,0.0427,125.53,3,0.122,1
0.00491,0.474,0.921,0.85,9,0.476,-10.431,0.0457,93.01,4,0.696,1
0.304,0.664,0.609,0,1,0.0926,-6.509,0.0707,130.041,4,0.194,1
0.0673,0.579,0.601,0.414,8,0.0778,-10.492,0.0322,140.019,4,0.0392,1
0.0807,0.467,0.757,0.908,3,0.0876,-5.093,0.033,82.282,4,0.433,1
3.84e-05,0.345,0.941,0.633,9,0.0511,-9.918,0.0466,179.626,4,0.407,1
0.196,0.625,0.71,0.0012,0,0.181,-8.577,0.0535,160.147,4,0.573,1
0.262,0.63,0.428,0.852,5,0.278,-15.52,0.0358,112.923,4,0.159,1
0.000807,0.181,0.553,0.249,6,0.0759,-11.913,0.0459,63.608,4,0.057,1
0.0371,0.78,0.768,2.34e-06,6,0.518,-4.325,0.238,80.063,4,0.507,1
0.428,0.697,0.395,0.653,6,0.173,-13.58,0.0281,113.589,4,0.876,1
0.0783,0.376,0.822,0,0,0.0841,-3.974,0.104,120.493,4,0.327,1
0.00346,0.546,0.586,0.00114,6,0.0562,-8.488,0.0313,131.778,4,0.364,1
0.731,0.557,0.442,1.46e-05,5,0.11,-7.224,0.0243,146.277,4,0.213,1
0.000985,0.639,0.816,0.0604,6,0.141,-5.28,0.0485,138.008,4,0.802,1
0.0869,0.676,0.703,0.000687,8,0.0463,-5.815,0.0302,92.761,4,0.852,1
0.058,0.719,0.347,0.00126,2,0.12,-14.707,0.065,123.396,4,0.961,1
0.000654,0.51,0.817,0.0344,9,0.146,-8.666,0.0373,169.481,4,0.547,1
0.3,0.794,0.711,0,8,0.0955,-5.124,0.0699,174.915,4,0.955,1
0.0411,0.584,0.835,0.0147,9,0.199,-4.326,0.0297,142.2,4,0.781,1
0.835,0.511,0.204,0,11,0.128,-9.117,0.0316,111.991,4,0.254,1
7.85e-05,0.429,0.631,0.00411,4,0.175,-11.514,0.0769,162.734,4,0.376,1
0.742,0.456,0.328,5.39e-06,0,0.162,-16.131,0.0603,80.808,4,0.332,1
0.733,0.352,0.424,2.3e-05,6,0.0664,-10.131,0.0394,127.047,4,0.141,1
0.0673,0.309,0.883,0.00111,9,0.0849,-3.825,0.0808,159.488,4,0.312,1
0.00216,0.351,0.903,7.44e-05,8,0.252,-2.341,0.0681,180.032,4,0.354,1
0.00731,0.513,0.442,0.000838,4,0.0878,-13.529,0.0343,81.201,4,0.243,1
0.544,0.515,0.479,0.00598,3,0.191,-7.458,0.0261,88.964,4,0.284,1
0.0126,0.764,0.567,9.51e-05,0,0.257,-8.585,0.0609,89.988,4,0.428,1
0.0294,0.789,0.813,2.07e-06,5,0.519,-4.563,0.0374,116.007,4,0.42,1
0.664,0.95,0.406,0,9,0.0932,-8.89,0.0559,108.976,4,0.671,1
0.00466,0.498,0.848,0,0,0.0753,-3.091,0.038,97.516,4,0.319,1
0.132,0.641,0.842,0.91,9,0.419,-7.27,0.0292,129.98,4,0.5,1
0.0383,0.591,0.764,0,1,0.103,-5.484,0.0483,169.928,4,0.478,1
0.451,0.747,0.458,0,6,0.252,-6.891,0.303,75.029,4,0.47,1
0.604,0.725,0.308,0,7,0.121,-9.941,0.039,126.061,4,0.154,1
0.0572,0.463,0.862,0,9,0.0722,-3.002,0.0391,163.018,4,0.551,1
0.751,0.521,0.125,0.00207,9,0.265,-17.832,0.239,111.554,4,0.0528,1
0.203,0.628,0.73,0,6,0.114,-6.957,0.0342,102.052,4,0.754,1
0.00329,0.488,0.68,0.398,2,0.144,-8.143,0.0328,139.984,4,0.64,1
0.21,0.494,0.47,0,8,0.28,-9.599,0.0301,103.477,4,0.698,1
0.87,0.664,0.283,0,5,0.345,-7.458,0.0498,110.375,4,0.558,1
0.428,0.254,0.296,0.574,6,0.117,-17.92,0.0426,146.95,4,0.139,1
0.0789,0.377,0.558,0.000342,4,0.125,-9.076,0.0299,149.971,3,0.267,1
0.0253,0.663,0.694,0,10,0.0698,-8.627,0.171,167.953,4,0.525,1
0.504,0.656,0.645,0,5,0.18,-5.442,0.0397,75.473,4,0.669,1
0.712,0.319,0.421,0.0495,2,0.0956,-6.23,0.0322,61.709,4,0.182,1
0.556,0.352,0.41,0.0113,11,0.114,-8.796,0.0388,118.721,4,0.0952,1
0.000121,0.351,0.676,0.113,9,0.18,-9.017,0.0313,102.46,4,0.143,1
0.674,0.541,0.583,0.00583,6,0.125,-8.886,0.0507,148.162,4,0.295,1
0.526,0.629,0.407,0,2,0.045,-10.314,0.0385,154.068,4,0.391,1
0.392,0.47,0.623,0.000439,0,0.0992,-5.655,0.0302,77.861,4,0.298,1
0.128,0.591,0.698,0.00576,8,0.103,-8.325,0.0867,177.901,4,0.801,1
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,1
0.00137,0.5,0.961,0,11,0.296,-3.92,0.0961,124.898,4,0.515,1
0.000725,0.607,0.92,0.000233,8,0.0743,-5.623,0.0551,126.981,4,0.415,1
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,1
0.802,0.367,0.186,0.0117,6,0.139,-17.776,0.0485,104.743,5,0.11,1
0.000561,0.55,0.969,0.325,7,0.146,-3.779,0.0508,104.019,4,0.611,1
