acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0539,0.77,0.896,0,0,0.243,-3.971,0.039,126.999,4,0.964,2
0.303,0.669,0.712,0,0,0.0755,-4.992,0.0412,124.009,4,0.843,2
0.049,0.482,0.831,0,5,0.0824,-5.956,0.0583,148.121,4,0.659,2
0.531,0.532,0.899,0.000146,0,0.0957,-5.935,0.244,85.0,4,0.436,2
0.204,0.766,0.709,1.41e-05,9,0.126,-6.471,0.123,128.07,4,0.506,2
0.0261,0.796,0.777,0.000358,6,0.121,-4.81,0.0397,132.722,4,0.787,2
0.462,0.678,0.533,0.219,4,0.139,-10.485,0.186,150.455,4,0.323,2
0.127,0.707,0.955,0,10,0.202,-4.593,0.222,125.989,4,0.575,2
0.453,0.648,0.639,0,10,0.283,-6.415,0.123,94.033,4,0.44,2
0.682,0.775,0.552,0,2,0.143,-5.271,0.0326,111.929,4,0.517,2
0.196,0.58,0.791,0.00326,11,0.0793,-7.604,0.324,83.323,4,0.343,2
0.0767,0.777,0.658,0,0,0.0901,-5.191,0.054,110.048,4,0.633,2
0.655,0.592,0.699,1.68e-05,3,0.114,-8.995,0.0471,141.916,4,0.506,2
0.0888,0.824,0.764,0.00294,5,0.117,-4.175,0.0854,107.998,4,0.881,2
0.353,0.679,0.388,9.25e-05,4,0.341,-10.977,0.0932,124.909,4,0.234,2
0.00807,0.529,0.9,0.00128,9,0.114,-4.941,0.0426,120.026,4,0.479,2
0.418,0.546,0.613,0,7,0.103,-7.589,0.0264,79.015,4,0.535,2
0.0167,0.519,0.917,2.06e-05,11,0.359,-3.185,0.0887,145.882,4,0.652,2
0.0362,0.672,0.655,0,10,0.117,-5.021,0.0311,134.945,4,0.556,2
0.0679,0.696,0.602,2.11e-05,0,0.0696,-6.156,0.159,82.989,4,0.305,2
0.0004,0.442,0.672,0.00364,6,0.107,-6.218,0.0284,98.018,4,0.182,2
0.235,0.834,0.663,0,8,0.372,-6.143,0.133,121.876,4,0.774,2
0.583,0.349,0.525,0,8,0.35,-6.829,0.0451,136.762,5,0.288,2
0.42,0.767,0.707,5.16e-05,6,0.298,-8.444,0.0489,92.015,4,0.772,2
0.365,0.526,0.64,1.3e-06,10,0.0958,-6.374,0.0472,117.132,4,0.622,2
0.00314,0.645,0.585,0,6,0.165,-6.122,0.0513,131.931,4,0.353,2
0.0823,0.846,0.814,0.00094,6,0.13,-4.685,0.149,140.055,4,0.722,2
0.578,0.604,0.366,0,5,0.133,-7.519,0.0282,141.981,4,0.13,2
0.0954,0.486,0.617,3.23e-06,5,0.109,-7.115,0.0287,138.015,4,0.417,2
0.544,0.282,0.464,0.215,11,0.111,-11.112,0.0533,148.345,5,0.0596,2
0.533,0.535,0.548,1.48e-06,1,0.123,-6.51,0.037,115.144,3,0.477,2
0.0114,0.606,0.85,1.01e-06,11,0.206,-3.952,0.183,170.01,4,0.542,2
0.0188,0.611,0.622,0,9,0.359,-5.075,0.0734,146.11,4,0.538,2
0.488,0.82,0.852,5.94e-06,11,0.0907,-2.567,0.166,109.036,4,0.82,2
0.601,0.52,0.69,0.201,5,0.137,-5.919,0.0554,129.839,4,0.182,2
0.0004,0.568,0.569,0.102,7,0.342,-6.013,0.0329,72.991,4,0.266,2
0.0229,0.65,0.827,0,8,0.121,-4.014,0.0599,144.995,4,0.223,2
0.191,0.714,0.736,0,2,0.0553,-3.801,0.0457,149.985,4,0.814,2
0.00302,0.562,0.904,0,1,0.0433,-4.947,0.0807,94.481,4,0.651,2
0.0117,0.421,0.791,1.48e-05,9,0.146,-4.998,0.0496,130.075,4,0.499,2
0.212,0.631,0.748,0,4,0.537,-2.569,0.0488,115.665,4,0.351,2
0.000377,0.719,0.632,0.855,7,0.0362,-9.849,0.0602,119.987,4,0.934,2
0.0232,0.653,0.634,0,5,0.0908,-5.875,0.0391,160.013,4,0.306,2
0.0569,0.678,0.808,0,5,0.288,-3.973,0.0599,125.938,4,0.765,2
0.0025,0.668,0.779,0.000347,9,0.139,-11.089,0.0325,140.873,4,0.963,2
0.0654,0.421,0.873,0,10,0.123,-4.343,0.0564,84.786,4,0.629,2
0.417,0.346,0.552,0,0,0.114,-6.864,0.0282,75.881,4,0.0789,2
0.147,0.791,0.733,0.000381,6,0.0713,-5.215,0.052,114.98,4,0.761,2
0.121,0.674,0.428,0,7,0.132,-9.504,0.122,84.878,4,0.337,2
0.0447,0.782,0.712,2.98e-06,1,0.257,-4.964,0.0603,102.986,4,0.366,2
0.00193,0.602,0.902,0.0745,1,0.0726,-4.094,0.0959,103.812,4,0.579,2
0.00666,0.745,0.466,0.35,4,0.272,-7.62,0.0864,123.889,4,0.303,2
0.797,0.489,0.361,0,1,0.308,-9.633,0.0404,109.273,4,0.276,2
0.081,0.49,0.753,2.85e-06,6,0.268,-5.411,0.238,156.241,4,0.325,2
0.301,0.796,0.398,0.000114,11,0.489,-16.43,0.168,98.065,4,0.683,2
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,2
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,2
0.124,0.575,0.546,0.0289,2,0.243,-10.526,0.0742,77.728,4,0.421,2
0.00321,0.629,0.849,0.00196,8,0.124,-3.916,0.0357,108.0,4,0.423,2
0.358,0.753,0.577,0,1,0.105,-7.299,0.0575,107.978,4,0.745,2
0.127,0.707,0.955,0,10,0.202,-4.593,0.222,125.989,4,0.575,2
0.333,0.528,0.491,1.23e-06,7,0.141,-10.423,0.151,155.792,4,0.269,2
0.000182,0.406,0.665,0.000104,11,0.162,-6.106,0.0329,194.01,4,0.12,2
0.0969,0.494,0.703,0,4,0.104,-8.111,0.369,100.231,4,0.797,2
0.0821,0.565,0.848,0.0207,0,0.0644,-6.207,0.0592,175.991,4,0.921,2
0.0529,0.664,0.602,0,4,0.356,-5.369,0.0412,134.049,3,0.289,2
0.144,0.801,0.876,1.38e-05,8,0.104,-3.94,0.0446,122.979,4,0.932,2
0.0151,0.357,0.725,0.243,8,0.145,-7.159,0.0619,201.438,4,0.597,2
0.0411,0.82,0.477,0.00328,0,0.116,-8.137,0.0345,106.501,4,0.872,2
0.225,0.692,0.711,0,0,0.12,-7.498,0.0317,125.135,4,0.875,2
0.365,0.526,0.64,1.3e-06,10,0.0958,-6.374,0.0472,117.132,4,0.622,2
0.374,0.487,0.625,0,8,0.226,-5.112,0.0401,170.397,4,0.351,2
0.0843,0.802,0.756,0.00765,2,0.0521,-10.791,0.0349,131.715,4,0.963,2
0.169,0.644,0.479,0,4,0.639,-8.352,0.177,79.929,4,0.612,2
0.00205,0.57,0.865,0,8,0.404,-4.518,0.0472,110.01,4,0.691,2
0.011,0.532,0.868,0,3,0.0584,-4.23,0.0908,110.127,4,0.529,2
0.0964,0.365,0.851,0.003,4,0.238,-6.238,0.065,78.068,4,0.309,2
0.000692,0.557,0.826,0.188,10,0.0914,-4.545,0.0394,164.01,4,0.632,2
0.15,0.698,0.649,0,8,0.0903,-6.764,0.415,180.466,4,0.568,2
0.0861,0.356,0.567,0,0,0.137,-7.011,0.0798,135.553,5,0.109,2
0.328,0.701,0.425,0.13,7,0.1,-10.965,0.375,135.128,4,0.562,2
0.00671,0.605,0.822,0.134,0,0.147,-4.833,0.0438,167.997,4,0.288,2
0.112,0.933,0.528,0.329,5,0.163,-6.472,0.162,109.975,4,0.756,2
0.011,0.31,0.7,0.00965,9,0.0828,-5.678,0.047,188.386,4,0.763,2
0.0331,0.794,0.523,0,8,0.156,-7.829,0.161,86.307,4,0.56,2
0.0184,0.838,0.705,1.82e-05,5,0.102,-5.201,0.0449,119.953,4,0.583,2
0.479,0.697,0.552,0.127,1,0.147,-10.271,0.196,75.235,4,0.278,2
0.0283,0.656,0.615,0,5,0.234,-6.252,0.0539,139.91,4,0.366,2
0.399,0.549,0.675,0,4,0.181,-5.637,0.0332,119.898,4,0.206,2
0.093,0.818,0.913,3.69e-05,4,0.161,-3.06,0.0426,119.986,4,0.536,2
0.00131,0.616,0.868,1.54e-06,2,0.671,-3.606,0.0699,108.016,4,0.475,2
0.0184,0.756,0.674,0,0,0.158,-6.518,0.0959,111.995,4,0.389,2
0.00621,0.813,0.872,0,9,0.0498,-5.224,0.107,103.016,4,0.736,2
0.533,0.535,0.548,1.48e-06,1,0.123,-6.51,0.037,115.144,3,0.477,2
0.363,0.725,0.844,0.000716,11,0.125,-3.707,0.0347,104.001,4,0.711,2
0.0321,0.662,0.681,0.139,11,0.508,-8.152,0.0315,98.004,4,0.864,2
0.592,0.778,0.317,0,1,0.0881,-10.732,0.334,140.048,4,0.327,2
0.462,0.678,0.533,0.219,4,0.139,-10.485,0.186,150.455,4,0.323,2
0.0841,0.732,0.396,3.58e-05,4,0.105,-9.348,0.0286,90.024,4,0.548,2
0.00302,0.562,0.904,0,1,0.0433,-4.947,0.0807,94.481,4,0.651,2
0.00161,0.445,0.907,0,11,0.403,-3.894,0.0773,165.069,4,0.71,2
0.707,0.637,0.887,0.00188,7,0.326,-5.444,0.227,157.759,4,0.596,2
0.00532,0.577,0.789,0.0105,2,0.214,-4.661,0.0427,97.52,3,0.149,2
0.0162,0.573,0.539,1.16e-05,2,0.105,-6.091,0.0322,75.012,4,0.39,2
0.0622,0.776,0.78,0,10,0.081,-4.374,0.128,124.949,4,0.666,2
0.000216,0.515,0.941,0.000283,10,0.388,-4.902,0.0846,161.923,4,0.914,2
9.35e-05,0.494,0.85,0.214,3,0.376,-5.584,0.0434,155.021,4,0.3,2
0.125,0.725,0.265,1.34e-05,7,0.0946,-12.443,0.0321,114.021,4,0.0901,2
0.637,0.731,0.579,5.83e-06,5,0.266,-10.496,0.275,120.084,4,0.737,2
0.685,0.656,0.307,0.0189,1,0.0909,-12.127,0.0296,129.999,4,0.0625,2
0.814,0.729,0.338,1.87e-06,9,0.0695,-11.856,0.0378,118.167,4,0.405,2
0.594,0.756,0.374,0,5,0.217,-7.966,0.741,80.326,4,0.966,2
0.0149,0.523,0.742,1.5e-06,5,0.0993,-6.247,0.0396,97.125,3,0.12,2
0.00904,0.798,0.545,9.48e-05,1,0.258,-6.466,0.168,118.029,4,0.212,2
