acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.00533,0.648,0.827,0.338,9,0.217,-4.78,0.042,176.005,4,0.598,3
0.0161,0.568,0.692,0,8,0.148,-4.513,0.0589,92.023,4,0.577,3
0.00165,0.75,0.608,0,1,0.178,-4.008,0.0387,132.507,4,0.958,3
0.663,0.665,0.527,0,2,0.306,-8.588,0.429,94.711,3,0.219,3
0.00286,0.908,0.669,0,7,0.237,-2.827,0.0738,112.238,4,0.662,3
0.18,0.596,0.679,0,4,0.0938,-3.881,0.0324,110.464,4,0.746,3
0.118,0.851,0.806,1.64e-06,4,0.121,-4.62,0.0787,118.999,4,0.787,3
0.186,0.548,0.532,0.000263,5,0.217,-7.596,0.0323,85.03,4,0.405,3
0.0249,0.774,0.838,0.025,5,0.242,-3.914,0.114,143.04,4,0.924,3
0.0395,0.731,0.867,0,11,0.0861,-5.881,0.032,104.019,4,0.776,3
0.0203,0.736,0.704,0,3,0.0501,-7.409,0.0615,149.995,4,0.894,3
0.768,0.604,0.517,0.000155,0,0.123,-9.014,0.0347,127.967,4,0.511,3
0.239,0.69,0.807,0,3,0.205,-4.912,0.0326,96.991,4,0.869,3
0.0302,0.949,0.661,0,5,0.0454,-4.244,0.0572,104.504,4,0.76,3
0.0164,0.691,0.814,0,1,0.366,-3.788,0.117,132.012,4,0.509,3
0.0506,0.463,0.857,0,4,0.184,-3.063,0.0632,111.647,4,0.856,3
0.0483,0.691,0.631,1.13e-05,2,0.104,-6.478,0.0368,92.004,4,0.8,3
0.918,0.647,0.272,1.73e-05,5,0.0918,-12.906,0.0916,150.044,4,0.339,3
0.000247,0.455,0.91,0,2,0.107,-4.464,0.166,114.109,4,0.447,3
0.0868,0.839,0.902,0.00257,1,0.272,-3.612,0.0536,114.953,4,0.639,3
0.0437,0.745,0.454,3.47e-06,3,0.0741,-2.986,0.0392,139.007,4,0.43,3
0.00139,0.516,0.85,0,4,0.296,-3.909,0.0706,120.324,4,0.583,3
0.0039,0.743,0.446,0.118,4,0.337,-7.807,0.0683,123.596,4,0.278,3
0.248,0.538,0.607,5.54e-06,9,0.0999,-5.261,0.216,175.424,4,0.515,3
0.325,0.504,0.407,0.0645,8,0.106,-14.462,0.21,159.089,4,0.403,3
0.33,0.323,0.323,0.0229,1,0.233,-10.268,0.0351,111.826,4,0.256,3
0.283,0.726,0.444,0.143,8,0.177,-8.922,0.372,185.044,4,0.569,3
0.309,0.827,0.58,0,7,0.148,-6.809,0.327,78.011,4,0.492,3
0.229,0.68,0.659,0,6,0.474,-7.186,0.151,98.877,4,0.75,3
0.0451,0.807,0.893,2.79e-05,11,0.366,-3.745,0.0347,126.011,4,0.537,3
0.0321,0.662,0.681,0.139,11,0.508,-8.152,0.0315,98.004,4,0.864,3
0.213,0.601,0.786,0,1,0.209,-3.706,0.234,172.156,4,0.79,3
0.00108,0.664,0.934,2.77e-05,10,0.27,-3.848,0.0697,130.982,4,0.53,3
0.0192,0.717,0.587,0,4,0.0523,-7.296,0.0339,129.954,4,0.544,3
0.0156,0.567,0.789,0,5,0.382,-5.986,0.115,163.96,4,0.438,3
0.00616,0.288,0.758,0,6,0.303,-5.692,0.0371,97.094,4,0.619,3
0.112,0.614,0.815,0,0,0.121,-6.784,0.131,130.049,4,0.431,3
0.00744,0.578,0.947,0.0816,11,0.105,-2.431,0.0359,134.033,4,0.456,3
0.0708,0.795,0.866,0,9,0.0623,-5.378,0.138,97.992,4,0.76,3
0.00671,0.605,0.822,0.134,0,0.147,-4.833,0.0438,167.997,4,0.288,3
0.0638,0.36,0.501,9.32e-05,7,0.172,-9.129,0.0258,74.807,4,0.324,3
0.258,0.72,0.715,0.0568,11,0.107,-4.652,0.04,107.041,4,0.357,3
0.472,0.692,0.394,0.000191,11,0.117,-8.745,0.207,89.936,4,0.324,3
0.167,0.391,0.715,0,0,0.183,-4.516,0.0495,149.654,3,0.473,3
0.0519,0.725,0.497,0.017,10,0.137,-7.929,0.057,171.988,4,0.954,3
0.397,0.708,0.843,0,7,0.799,-2.66,0.314,148.14,4,0.625,3
0.61,0.728,0.681,0,9,0.0559,-10.943,0.221,115.944,4,0.578,3
0.0202,0.579,0.558,1.26e-06,2,0.212,-6.986,0.0895,179.949,4,0.506,3
0.0265,0.499,0.637,0.228,2,0.226,-9.035,0.0401,125.198,4,0.103,3
0.154,0.581,0.8,0,1,0.0697,-2.613,0.411,119.872,5,0.709,3
0.081,0.49,0.753,2.85e-06,6,0.268,-5.411,0.238,156.241,4,0.325,3
0.0004,0.568,0.569,0.102,7,0.342,-6.013,0.0329,72.991,4,0.266,3
0.011,0.31,0.7,0.00965,9,0.0828,-5.678,0.047,188.386,4,0.763,3
0.000725,0.607,0.92,0.000233,8,0.0743,-5.623,0.0551,126.981,4,0.415,3
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,3
0.0321,0.662,0.681,0.139,11,0.508,-8.152,0.0315,98.004,4,0.864,3
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,3
0.000561,0.55,0.969,0.325,7,0.146,-3.779,0.0508,104.019,4,0.611,3
0.512,0.559,0.805,0,2,0.148,-6.807,0.527,171.919,4,0.476,3
0.0107,0.658,0.517,0,6,0.0629,-8.513,0.0545,120.033,4,0.476,3
6.16e-05,0.373,0.964,1.94e-05,7,0.36,-4.131,0.109,139.907,4,0.305,3
