acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.558,0.543,0.485,0,8,0.12,-6.85,0.0305,136.961,4,0.371,4
0.0678,0.588,0.521,0.149,10,0.123,-9.461,0.0329,85.012,4,0.337,4
0.691,0.38,0.339,0,3,0.12,-7.885,0.0338,100.607,4,0.0849,4
0.0166,0.578,0.793,0,10,0.304,-5.002,0.0453,137.915,4,0.638,4
0.00267,0.557,0.719,0,2,0.306,-4.515,0.0371,77.502,4,0.345,4
0.262,0.324,0.416,3.69e-05,11,0.11,-8.92,0.0368,113.986,4,0.151,4
0.00347,0.398,0.493,0.000157,9,0.106,-9.561,0.0303,82.048,4,0.412,4
0.77,0.462,0.191,0.00264,2,0.107,-14.993,0.0374,132.034,1,0.0996,4
0.000872,0.485,0.89,0.818,8,0.102,-5.992,0.0911,128.881,4,0.258,4
0.537,0.613,0.581,0.000345,0,0.25,-8.588,0.0424,130.033,4,0.551,4
0.191,0.583,0.888,4.58e-05,11,0.0936,-9.414,0.0349,93.206,4,0.706,4
0.0296,0.708,0.959,0.00188,1,0.107,-1.338,0.0604,128.981,4,0.644,4
0.00892,0.464,0.701,0.309,6,0.335,-5.693,0.0411,83.996,4,0.356,4
0.968,0.215,0.203,0.0585,5,0.0923,-12.65,0.0346,78.287,1,0.143,4
0.907,0.547,0.257,0.183,0,0.0935,-12.358,0.0252,75.752,4,0.169,4
0.19,0.505,0.71,0.00025,3,0.269,-3.015,0.0321,89.938,4,0.428,4
0.0129,0.584,0.557,0,6,0.0576,-6.371,0.0342,154.008,4,0.767,4
0.136,0.464,0.417,0.022,0,0.0974,-9.345,0.0256,67.528,4,0.479,4
0.243,0.609,0.679,0,0,0.199,-4.545,0.0312,122.034,4,0.487,4
0.833,0.392,0.574,0.00179,7,0.145,-9.195,0.17,81.112,4,0.529,4
0.245,0.42,0.33,0.000679,9,0.0677,-13.925,0.0275,157.143,3,0.175,4
0.583,0.575,0.648,0,10,0.115,-4.891,0.0358,75.977,4,0.466,4
0.817,0.606,0.377,0,0,0.154,-9.455,0.0275,101.96,4,0.446,4
0.113,0.762,0.692,0,5,0.094,-3.973,0.0438,114.906,4,0.397,4
0.00248,0.0996,0.609,0,7,0.0841,-4.913,0.0421,48.717,4,0.128,4
0.879,0.591,0.242,0,0,0.15,-10.098,0.0312,118.001,3,0.292,4
0.0122,0.569,0.741,0,5,0.333,-4.963,0.0282,100.118,4,0.43,4
0.385,0.53,0.593,0,5,0.314,-7.286,0.0545,125.723,4,0.538,4
0.724,0.855,0.423,0.469,5,0.0896,-15.044,0.0585,120.02,4,0.572,4
0.00272,0.506,0.817,0,11,0.0486,-5.051,0.0335,109.952,4,0.506,4
0.325,0.606,0.618,0.0019,11,0.108,-5.1,0.0258,92.061,4,0.237,4
0.265,0.537,0.586,7.04e-05,6,0.175,-1.864,0.314,79.056,4,0.624,4
0.543,0.82,0.452,0.00294,1,0.0714,-9.796,0.0348,117.401,4,0.74,4
0.855,0.515,0.545,1.97e-05,2,0.0921,-9.277,0.0353,88.856,4,0.535,4
0.112,0.653,0.524,0,11,0.203,-9.016,0.0502,83.97,4,0.553,4
0.272,0.47,0.809,0.00671,8,0.0491,-6.74,0.0495,151.836,4,0.49,4
0.0147,0.524,0.622,0.062,10,0.11,-8.241,0.0508,119.925,4,0.369,4
0.838,0.653,0.452,7.73e-05,4,0.108,-11.143,0.055,83.433,4,0.45,4
0.225,0.692,0.711,0,0,0.12,-7.498,0.0317,125.135,4,0.875,4
0.0553,0.568,0.871,0.51,0,0.303,-3.453,0.0308,119.99,4,0.374,4
0.000314,0.552,0.669,0,1,0.113,-6.161,0.0269,119.98,4,0.26,4
0.978,0.367,0.111,3.97e-05,4,0.0897,-14.084,0.0972,82.642,4,0.198,4
0.0335,0.356,0.917,0,9,0.406,-6.006,0.0479,171.176,4,0.518,4
0.193,0.664,0.666,0,8,0.0854,-2.203,0.0446,139.987,4,0.405,4
0.224,0.293,0.276,0.122,4,0.167,-11.357,0.0349,121.603,4,0.195,4
0.0531,0.545,0.884,0,6,0.409,-2.032,0.115,87.012,4,0.883,4
0.374,0.571,0.422,0,1,0.127,-7.561,0.0422,113.016,4,0.169,4
0.0244,0.584,0.885,0,0,0.357,-3.571,0.104,92.9,4,0.605,4
0.0804,0.759,0.76,0,9,0.0818,-7.199,0.0322,120.006,4,0.731,4
0.24,0.559,0.835,0.019,5,0.185,-5.555,0.0424,114.908,4,0.382,4
0.178,0.389,0.665,0.000732,0,0.116,-6.169,0.0644,117.055,4,0.199,4
0.0192,0.494,0.723,0.0322,6,0.134,-4.559,0.0441,144.036,4,0.152,4
0.0718,0.418,0.383,0.0177,4,0.0896,-11.782,0.0257,87.773,4,0.352,4
0.209,0.563,0.592,5.08e-05,9,0.132,-4.571,0.0276,104.016,4,0.136,4
0.8,0.754,0.548,0.0127,1,0.0762,-9.521,0.0544,111.892,4,0.548,4
0.41,0.749,0.497,0.0499,10,0.0504,-12.609,0.105,95.818,4,0.585,4
0.493,0.696,0.395,7.3e-05,0,0.109,-10.631,0.0406,129.933,4,0.217,4
0.0442,0.573,0.635,0,0,0.12,-8.267,0.0387,120.121,4,0.269,4
0.00157,0.553,0.756,3.23e-06,1,0.0958,-5.917,0.0276,140.058,4,0.746,4
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,4
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,4
0.258,0.448,0.576,0.933,6,0.119,-11.564,0.0348,120.019,4,0.0607,4
0.946,0.348,0.0691,2.15e-05,5,0.106,-16.205,0.0483,170.523,4,0.215,4
0.0159,0.698,0.393,0.00013,6,0.328,-9.233,0.266,109.694,4,0.776,4
0.124,0.575,0.546,0.0289,2,0.243,-10.526,0.0742,77.728,4,0.421,4
0.00704,0.625,0.734,4.47e-06,8,0.136,-7.815,0.0678,139.94,4,0.307,4
0.00383,0.552,0.667,0.0105,10,0.104,-3.875,0.222,92.191,4,0.416,4
0.203,0.692,0.591,0.916,9,0.0889,-11.387,0.0386,102.998,4,0.104,4
0.364,0.752,0.486,1.91e-05,7,0.11,-8.324,0.13,139.958,4,0.41,4
0.112,0.605,0.516,0,5,0.131,-9.462,0.0897,91.895,4,0.375,4
0.182,0.669,0.554,0.883,2,0.163,-8.914,0.0362,77.902,4,0.249,4
0.301,0.796,0.398,0.000114,11,0.489,-16.43,0.168,98.065,4,0.683,4
0.584,0.691,0.731,0,2,0.132,-7.533,0.42,85.922,4,0.499,4
0.794,0.51,0.697,0.0121,7,0.0897,-7.497,0.0435,160.969,4,0.356,4
0.235,0.785,0.674,0.00253,7,0.107,-7.508,0.0398,129.959,4,0.517,4
0.000725,0.607,0.92,0.000233,8,0.0743,-5.623,0.0551,126.981,4,0.415,4
0.293,0.623,0.69,0,7,0.194,-5.165,0.0642,73.999,4,0.308,4
0.0438,0.515,0.645,3.79e-05,4,0.154,-7.154,0.0294,108.948,4,0.399,4
0.412,0.834,0.472,6.76e-05,5,0.0836,-7.777,0.0873,107.014,4,0.517,4
0.262,0.602,0.499,0,3,0.113,-10.234,0.097,127.875,4,0.405,4
0.00387,0.608,0.528,1.4e-05,1,0.106,-11.722,0.0338,89.221,4,0.454,4
0.773,0.491,0.324,1.47e-05,7,0.114,-7.884,0.0287,134.445,4,0.391,4
0.572,0.586,0.44,7.69e-06,5,0.109,-10.742,0.0413,122.94,3,0.326,4
0.242,0.669,0.656,0.402,0,0.15,-6.4,0.0226,92.025,4,0.634,4
0.102,0.38,0.924,8.24e-05,7,0.436,-3.828,0.34,163.006,4,0.74,4
0.132,0.641,0.842,0.91,9,0.419,-7.27,0.0292,129.98,4,0.5,4
0.741,0.661,0.62,0.000638,9,0.0938,-7.76,0.0481,109.986,4,0.523,4
0.913,0.44,0.241,8.08e-05,11,0.112,-12.968,0.0381,149.82,4,0.123,4
0.303,0.669,0.712,0,0,0.0755,-4.992,0.0412,124.009,4,0.843,4
0.138,0.685,0.464,3.97e-05,7,0.111,-9.931,0.0579,90.011,4,0.0559,4
0.385,0.826,0.488,0,11,0.106,-5.715,0.0757,85.009,4,0.435,4
0.0644,0.828,0.492,0.00428,0,0.128,-9.744,0.0276,120.151,4,0.789,4
0.837,0.357,0.21,0.000409,7,0.0736,-13.378,0.0458,150.298,4,0.19,4
0.131,0.504,0.498,0,0,0.0929,-8.24,0.0499,87.221,4,0.196,4
0.17,0.461,0.593,0,1,0.307,-4.954,0.0356,134.17,3,0.175,4
0.0338,0.501,0.809,0.00602,7,0.119,-5.264,0.0938,149.964,4,0.258,4
0.905,0.43,0.36,0,0,0.0967,-8.909,0.036,97.852,4,0.247,4
0.457,0.527,0.415,1.72e-05,4,0.117,-11.451,0.122,78.169,4,0.515,4
0.931,0.451,0.222,0.00599,2,0.0908,-16.374,0.0314,132.874,4,0.381,4
0.814,0.729,0.338,1.87e-06,9,0.0695,-11.856,0.0378,118.167,4,0.405,4
0.602,0.817,0.719,0.00277,7,0.105,-4.54,0.0566,129.979,4,0.838,4
0.0491,0.593,0.842,0.0599,1,0.0934,-8.797,0.034,120.028,4,0.448,4
0.667,0.626,0.323,0,4,0.0605,-9.607,0.0339,130.082,4,0.234,4
0.0025,0.656,0.633,0,6,0.07,-5.54,0.0267,106.081,4,0.558,4
0.799,0.373,0.291,0.149,0,0.113,-13.062,0.0297,151.816,4,0.215,4
0.775,0.774,0.493,0,1,0.0454,-7.179,0.0976,140.005,4,0.745,4
0.636,0.348,0.563,0.652,10,0.358,-11.425,0.0348,79.841,4,0.211,4
0.356,0.63,0.842,0.739,6,0.264,-6.015,0.0368,113.002,4,0.615,4
0.263,0.304,0.696,0.00563,0,0.119,-10.623,0.0739,199.867,4,0.447,4
0.979,0.563,0.23,0.0436,4,0.105,-11.858,0.0342,123.145,4,0.0756,4
0.851,0.4,0.312,0,0,0.128,-7.926,0.032,81.157,5,0.295,4
0.68,0.587,0.49,0,4,0.0872,-12.97,0.0889,135.924,4,0.18,4
0.00432,0.432,0.393,0.0145,7,0.238,-14.184,0.0408,170.019,4,0.322,4
0.000501,0.466,0.763,0,0,0.0973,-4.448,0.0318,154.914,4,0.293,4
0.115,0.395,0.768,0.0204,2,0.286,-2.81,0.0311,142.016,4,0.251,4
0.766,0.434,0.302,7.63e-06,10,0.149,-10.117,0.0378,121.645,4,0.173,4
0.385,0.53,0.593,0,5,0.314,-7.286,0.0545,125.723,4,0.538,4
0.537,0.613,0.581,0.000345,0,0.25,-8.588,0.0424,130.033,4,0.551,4
0.833,0.392,0.574,0.00179,7,0.145,-9.195,0.17,81.112,4,0.529,4
0.325,0.606,0.618,0.0019,11,0.108,-5.1,0.0258,92.061,4,0.237,4
0.583,0.575,0.648,0,10,0.115,-4.891,0.0358,75.977,4,0.466,4
0.989,0.303,0.187,0.489,2,0.101,-16.757,0.0356,132.731,4,0.213,4
