acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.07,0.398,0.717,0,0,0.085,-5.253,0.0398,117.296,4,0.487,5
0.0097,0.515,0.43,0.000133,7,0.129,-9.935,0.0372,91.844,4,0.104,5
0.335,0.563,0.664,0,9,0.0849,-5.044,0.154,166.928,4,0.688,5
0.257,0.686,0.691,0,5,0.145,-4.616,0.0371,95.046,4,0.477,5
0.0462,0.734,0.637,2.29e-05,4,0.0602,-5.677,0.141,169.977,4,0.648,5
0.0622,0.776,0.78,0,10,0.081,-4.374,0.128,124.949,4,0.666,5
0.167,0.466,0.63,5.32e-05,11,0.103,-8.115,0.0273,82.988,4,0.329,5
0.842,0.313,0.258,1.3e-06,2,0.0948,-11.532,0.0383,179.947,4,0.268,5
0.373,0.609,0.817,2.81e-05,0,0.249,-8.058,0.696,149.257,5,0.539,5
0.548,0.865,0.521,0.000115,0,0.0989,-6.932,0.0371,129.059,4,0.748,5
0.584,0.357,0.425,0,5,0.322,-7.301,0.0333,102.078,3,0.27,5
0.92,0.587,0.229,0,10,0.1,-11.254,0.128,75.67,4,0.379,5
0.0709,0.553,0.664,0.0056,8,0.106,-7.417,0.0741,140.06,4,0.467,5
0.195,0.636,0.749,0,1,0.107,-4.197,0.0631,117.904,4,0.653,5
0.00387,0.486,0.528,1.4e-05,1,0.106,-11.722,0.0463,178.519,4,0.452,5
0.747,0.594,0.335,0.0111,4,0.0976,-13.415,0.0513,87.49,4,0.343,5
0.463,0.767,0.89,0.0037,0,0.363,-4.281,0.0738,140.363,4,0.859,5
0.131,0.617,0.741,0,2,0.0772,-3.97,0.0311,118.984,4,0.306,5
0.629,0.422,0.302,7.83e-05,11,0.104,-9.214,0.0372,114.089,4,0.123,5
0.00201,0.15,0.859,0.194,4,0.387,-2.827,0.0595,170.527,5,0.354,5
0.112,0.46,0.999,0,11,0.245,-1.307,0.325,145.911,4,0.779,5
0.0275,0.512,0.662,0,3,0.118,-6.797,0.0439,180.114,4,0.472,5
0.137,0.719,0.757,0,2,0.129,-5.167,0.0849,147.024,4,0.489,5
0.814,0.294,0.337,0.414,6,0.14,-10.614,0.036,91.781,5,0.135,5
0.0652,0.574,0.625,0.000417,10,0.284,-6.75,0.025,76.004,4,0.475,5
0.00958,0.556,0.864,0,3,0.209,-5.87,0.0584,105.143,4,0.4,5
0.00394,0.49,0.679,1.54e-05,8,0.0383,-3.68,0.0309,167.046,4,0.506,5
0.0953,0.6,0.653,0,1,0.122,-8.309,0.0594,119.994,4,0.43,5
0.00721,0.331,0.943,2.06e-06,4,0.242,-3.188,0.0698,94.612,4,0.296,5
0.695,0.445,0.537,1.65e-05,4,0.0944,-8.532,0.04,122.769,4,0.131,5
0.162,0.208,0.413,0,2,0.297,-9.643,0.0312,103.071,4,0.113,5
0.0291,0.589,0.651,3.2e-06,6,0.111,-5.097,0.0306,90.011,4,0.166,5
0.00327,0.587,0.828,0,11,0.331,-5.108,0.161,123.907,4,0.494,5
0.101,0.708,0.601,0,7,0.0979,-3.75,0.0306,118.962,4,0.742,5
0.0299,0.363,0.678,0,2,0.324,-4.939,0.0995,162.124,4,0.321,5
0.0558,0.584,0.836,0,0,0.0663,-4.925,0.079,104.973,4,0.484,5
0.0525,0.708,0.852,0.00016,2,0.399,-4.398,0.0851,129.946,4,0.396,5
0.29,0.762,0.596,0,9,0.0691,-8.152,0.075,116.887,4,0.378,5
0.216,0.75,0.404,0.000357,9,0.0911,-10.178,0.0682,95.045,4,0.0499,5
0.534,0.511,0.472,0.614,4,0.11,-9.277,0.091,127.978,4,0.0399,5
0.233,0.507,0.79,0.139,0,0.145,-7.307,0.0294,147.065,4,0.6,5
1.63e-05,0.487,0.753,0.000715,1,0.0977,-3.184,0.031,138.009,4,0.245,5
0.27,0.32,0.529,0.0136,5,0.0942,-7.595,0.0436,119.898,4,0.103,5
0.00161,0.445,0.907,0,11,0.403,-3.894,0.0773,165.069,4,0.71,5
0.969,0.467,0.119,1.4e-06,2,0.0973,-10.99,0.0401,70.499,4,0.156,5
0.00631,0.539,0.846,1.71e-06,8,0.13,-3.192,0.0354,106.994,4,0.462,5
0.737,0.483,0.412,0,7,0.116,-8.461,0.0402,170.163,3,0.247,5
0.594,0.647,0.377,0,6,0.0768,-6.003,0.0375,79.936,4,0.653,5
0.855,0.202,0.129,0.00243,1,0.104,-18.237,0.0411,86.741,1,0.0793,5
0.451,0.674,0.537,1.12e-05,2,0.166,-8.059,0.028,107.924,3,0.713,5
0.969,0.467,0.119,1.4e-06,2,0.0973,-10.99,0.0401,70.499,4,0.156,5
0.00167,0.637,0.929,2.62e-05,4,0.344,-3.593,0.0491,80.974,4,0.902,5
0.0483,0.691,0.631,1.13e-05,2,0.104,-6.478,0.0368,92.004,4,0.8,5
0.583,0.575,0.648,0,10,0.115,-4.891,0.0358,75.977,4,0.466,5
0.228,0.536,0.775,0.000143,8,0.0947,-6.765,0.0394,151.393,4,0.485,5
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,5
0.0442,0.573,0.635,0,0,0.12,-8.267,0.0387,120.121,4,0.269,5
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,5
0.00157,0.553,0.756,3.23e-06,1,0.0958,-5.917,0.0276,140.058,4,0.746,5
0.567,0.79,0.506,0.000151,1,0.109,-8.782,0.16,82.204,4,0.688,5
0.41,0.749,0.497,0.0499,10,0.0504,-12.609,0.105,95.818,4,0.585,5
0.946,0.348,0.0691,2.15e-05,5,0.106,-16.205,0.0483,170.523,4,0.215,5
0.182,0.669,0.554,0.883,2,0.163,-8.914,0.0362,77.902,4,0.249,5
0.124,0.575,0.546,0.0289,2,0.243,-10.526,0.0742,77.728,4,0.421,5
0.839,0.334,0.222,0,10,0.104,-12.651,0.0341,129.849,4,0.228,5
0.767,0.332,0.225,0.00349,0,0.128,-8.697,0.0348,81.055,3,0.297,5
0.572,0.586,0.44,7.69e-06,5,0.109,-10.742,0.0413,122.94,3,0.326,5
0.8,0.754,0.548,0.0127,1,0.0762,-9.521,0.0544,111.892,4,0.548,5
0.634,0.513,0.369,0.0139,3,0.186,-10.899,0.0307,72.062,4,0.311,5
0.301,0.796,0.398,0.000114,11,0.489,-16.43,0.168,98.065,4,0.683,5
0.249,0.389,0.431,0,7,0.13,-8.061,0.0344,142.14,4,0.275,5
0.257,0.686,0.691,0,5,0.145,-4.616,0.0371,95.046,4,0.477,5
0.913,0.44,0.241,8.08e-05,11,0.112,-12.968,0.0381,149.82,4,0.123,5
0.127,0.571,0.655,1.42e-05,11,0.165,-7.576,0.0307,85.986,4,0.633,5
0.12,0.576,0.759,0,3,0.121,-8.165,0.0599,99.969,4,0.501,5
0.542,0.404,0.664,0.00402,1,0.11,-6.698,0.0407,107.747,4,0.0949,5
0.0123,0.58,0.788,1.84e-05,2,0.368,-4.714,0.259,148.992,4,0.72,5
0.0197,0.714,0.697,2e-06,1,0.0697,-7.887,0.032,122.145,4,0.602,5
0.399,0.509,0.547,0,10,0.215,-6.548,0.0417,109.436,4,0.197,5
0.575,0.667,0.361,0.00506,1,0.0805,-8.69,0.0273,134.018,5,0.29,5
0.947,0.466,0.113,7.53e-05,2,0.0986,-13.325,0.0414,125.369,4,0.104,5
0.0529,0.4,0.479,2.14e-06,8,0.115,-7.989,0.0308,166.159,4,0.213,5
0.0477,0.566,0.647,0,1,0.121,-6.815,0.0335,111.96,4,0.22,5
0.866,0.369,0.272,0,9,0.147,-10.497,0.0364,172.929,4,0.218,5
0.0725,0.759,0.481,0,4,0.286,-7.614,0.156,93.12,4,0.417,5
0.69,0.663,0.319,0.000993,9,0.117,-13.481,0.0375,109.957,4,0.193,5
