acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0311,0.672,0.526,1.37e-06,4,0.28,-6.446,0.0599,123.999,4,0.28,6
0.687,0.553,0.413,2.33e-06,2,0.0594,-10.037,0.0334,110.107,4,0.379,6
0.103,0.76,0.703,0,5,0.0913,-5.412,0.054,95.997,4,0.57,6
0.115,0.721,0.939,3.79e-05,8,0.108,-11.823,0.0376,113.309,4,0.914,6
0.0526,0.536,0.307,0.39,2,0.11,-13.659,0.0356,137.981,4,0.264,6
0.00824,0.53,0.857,1.15e-05,6,0.333,-4.528,0.0718,128.074,4,0.181,6
0.492,0.359,0.543,1.58e-05,7,0.118,-7.582,0.0919,68.534,4,0.453,6
0.0862,0.605,0.842,3.08e-06,8,0.106,-4.747,0.0509,115.008,3,0.35,6
0.0142,0.69,0.897,0,11,0.108,-4.696,0.0506,140.05,4,0.849,6
0.83,0.512,0.462,0.166,9,0.121,-10.491,0.0408,112.05,4,0.353,6
0.000508,0.313,0.691,0.423,11,0.185,-3.001,0.0345,203.981,4,0.595,6
0.106,0.615,0.534,1.76e-05,9,0.0607,-6.719,0.0386,135.917,4,0.193,6
0.813,0.652,0.435,0,1,0.106,-6.586,0.0384,120.006,4,0.473,6
0.0233,0.602,0.658,6e-05,1,0.237,-5.934,0.0558,145.031,4,0.268,6
0.0684,0.72,0.706,0,1,0.166,-4.719,0.0473,133.002,4,0.62,6
0.264,0.787,0.673,3.35e-06,11,0.0904,-4.583,0.159,110.962,4,0.779,6
0.174,0.517,0.622,0,1,0.105,-3.536,0.0577,170.154,4,0.463,6
0.329,0.55,0.707,2.26e-06,1,0.0982,-6.228,0.0324,136.309,4,0.491,6
0.162,0.642,0.702,0,1,0.289,-4.342,0.0551,121.971,4,0.693,6
0.468,0.737,0.802,0,0,0.0931,-4.771,0.0878,144.015,4,0.682,6
0.849,0.534,0.491,0,10,0.192,-7.945,0.0545,105.989,5,0.428,6
0.263,0.614,0.812,1.14e-05,7,0.102,-5.849,0.0416,120.019,4,0.726,6
0.256,0.611,0.552,0,7,0.134,-5.828,0.031,116.012,4,0.41,6
0.381,0.518,0.655,0,8,0.271,-6.255,0.0826,156.992,4,0.29,6
0.0237,0.676,0.771,7e-06,8,0.102,-3.675,0.0483,99.048,4,0.569,6
0.141,0.638,0.832,0,8,0.113,-5.039,0.049,124.071,4,0.648,6
0.00465,0.562,0.689,2.23e-06,2,0.0888,-6.745,0.127,172.054,4,0.351,6
0.0217,0.599,0.775,0,1,0.0678,-4.018,0.0543,129.817,4,0.696,6
0.0339,0.557,0.54,0.00248,9,0.179,-10.484,0.0347,129.171,4,0.394,6
0.128,0.653,0.869,2.2e-05,5,0.046,-3.725,0.0382,122.017,4,0.697,6
0.138,0.73,0.769,0,8,0.0473,-5.114,0.0298,104.948,4,0.507,6
0.265,0.379,0.671,0.000186,0,0.203,-7.536,0.0341,137.075,4,0.222,6
0.0807,0.636,0.676,0,2,0.0831,-3.442,0.0263,113.98,4,0.273,6
0.00615,0.51,0.63,0.000485,2,0.147,-6.997,0.0258,89.812,4,0.569,6
0.198,0.581,0.62,7.18e-05,11,0.0895,-8.087,0.462,125.887,5,0.512,6
0.00239,0.429,0.661,0.000121,11,0.234,-7.227,0.0281,173.372,4,0.285,6
0.432,0.306,0.664,7.5e-06,9,0.135,-6.07,0.0276,158.283,4,0.321,6
0.167,0.661,0.819,0,11,0.0647,-6.269,0.0519,135.937,4,0.724,6
0.065,0.656,0.851,0,7,0.141,-2.972,0.215,93.208,4,0.752,6
0.0165,0.348,0.652,0.000264,3,0.33,-7.145,0.0931,70.956,4,0.172,6
0.0112,0.72,0.625,0.0076,7,0.0999,-6.274,0.0362,102.006,4,0.818,6
0.447,0.743,0.429,0.362,10,0.0455,-14.576,0.0902,95.406,4,0.597,6
0.0224,0.779,0.762,0,10,0.121,-5.188,0.0631,110.043,4,0.859,6
0.237,0.73,0.483,7.99e-05,4,0.31,-8.565,0.0879,87.996,4,0.883,6
0.761,0.449,0.41,0,9,0.0631,-8.067,0.0317,123.758,4,0.195,6
0.0557,0.528,0.727,0,6,0.176,-5.739,0.179,155.927,4,0.212,6
0.755,0.654,0.303,0.159,5,0.0957,-13.943,0.126,160.095,4,0.168,6
0.313,0.605,0.805,0,6,0.659,-3.212,0.0641,148.298,4,0.738,6
0.034,0.582,0.849,0.000138,7,0.119,-4.153,0.0414,107.004,4,0.355,6
0.443,0.422,0.578,0,8,0.231,-7.524,0.0548,128.921,4,0.227,6
0.00873,0.487,0.716,0.000203,5,0.134,-6.294,0.0348,104.98,4,0.594,6
0.0178,0.672,0.738,6.75e-05,0,0.0927,-7.045,0.0506,107.938,4,0.392,6
0.112,0.359,0.589,0.0307,3,0.0789,-8.095,0.0352,111.781,4,0.145,6
0.682,0.494,0.632,0,5,0.0869,-6.89,0.0342,147.873,4,0.0797,6
0.00847,0.56,0.936,0,3,0.161,-5.835,0.0439,112.96,4,0.371,6
6.55e-05,0.555,0.876,3.76e-06,5,0.138,-5.316,0.0403,104.635,4,0.458,6
0.299,0.494,0.584,0.115,9,0.139,-6.513,0.029,140.047,4,0.194,6
