acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.0092,0.613,0.822,0.506,9,0.429,-4.087,0.026,105.997,4,0.567,9
0.0171,0.44,0.528,0.00203,0,0.234,-7.809,0.0317,185.972,4,0.132,9
0.0467,0.497,0.638,0,1,0.385,-5.31,0.0274,172.01,4,0.77,9
0.584,0.442,0.612,5.7e-06,2,0.37,-7.222,0.112,180.917,4,0.178,9
0.342,0.52,0.731,0.00101,6,0.311,-5.338,0.0557,173.93,4,0.662,9
0.866,0.369,0.272,0,9,0.147,-10.497,0.0364,172.929,4,0.218,9
0.769,0.581,0.619,0.000106,10,0.117,-6.524,0.0282,137.915,4,0.645,9
0.388,0.443,0.298,1e-05,0,0.103,-12.181,0.0644,77.253,4,0.172,9
0.254,0.595,0.689,5.44e-06,6,0.129,-6.107,0.148,168.112,4,0.213,9
0.538,0.532,0.623,7.28e-05,5,0.0925,-9.208,0.0331,89.937,4,0.403,9
0.878,0.316,0.361,2.67e-05,9,0.0797,-10.381,0.0488,74.952,5,0.221,9
0.581,0.359,0.329,3.75e-05,10,0.0979,-9.531,0.0293,84.358,3,0.208,9
0.0165,0.362,0.258,0.00714,7,0.231,-9.655,0.0315,77.021,4,0.133,9
0.018,0.573,0.902,0.00125,6,0.0928,-7.638,0.054,84.412,4,0.876,9
0.698,0.56,0.674,0,10,0.123,-6.048,0.0446,119.942,4,0.421,9
0.593,0.93,0.611,0.00124,0,0.0592,-4.406,0.0415,112.127,4,0.695,9
0.947,0.483,0.129,0.145,5,0.106,-20.149,0.0349,137.35,3,0.203,9
0.00181,0.174,0.742,0.281,8,0.198,-5.93,0.0485,163.378,4,0.36,9
0.888,0.312,0.168,6.59e-06,10,0.147,-12.476,0.0332,108.115,1,0.154,9
0.956,0.376,0.101,0,0,0.382,-14.451,0.0333,79.95,3,0.231,9
2.56e-05,0.133,0.54,0.00805,1,0.114,-7.108,0.0339,143.951,4,0.233,9
0.262,0.538,0.557,0.914,11,0.102,-8.678,0.0914,131.03,4,0.506,9
0.876,0.535,0.561,0.000136,5,0.115,-11.609,0.0484,96.103,4,0.287,9
